gene_id	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
44986_1	100	169	84	194.01	149	307	158	54	107	136	100	66
44987_1	124	223	95	210	383	404	288	144	197	313	298	265
44986_2	0	3	0	0	30	14	14	0	39	0	0	0
44987_2	4602.18	5271.55	5920.92	5393.1	3731.27	4745.99	4111.42	1427.91	1467.12	4005.62	1792.42	2498.97
A1BG	3673	1433	3450.03	1157	853	1031	717	757	385	769	574.1	704.82
A1CF	0	0	0	0	0	0	0	0	0.99	0	0	0
A2LD1	360.69	428.4	243.41	292.78	273.89	241.78	273.71	0	94.72	116.92	118.05	143.53
A2M	15969.82	10879	10468	9557	7085.61	9031	28088.59	4637	24043.19	8440.92	3654	6105
A2ML1	8.98	0	0	1	0	0	0	0	7	0	0	0
A4GALT	59	17	46	140	55.01	73	629	96	237	421	285	365
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	1396	1945	1662	2279.99	2194.74	2558.01	1910.84	724.51	1258.89	1877	1404	1711
AACS	471	869.06	785	892.07	772	1108.01	1407	389	794	1057	969	986.8
AADAC	0	2	0	0	0	6	0	0	2	0	0	0
AADACL2	0	0	0	0	0	4	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	198	201	211	243	331	319	280	32	211.99	159	212	155
AAED1	562	1271.01	989	859	1076.99	1202	1372	752	1051.03	1102	1050	1200
AAGAB	1679.46	2342.01	2131.06	2119	2216	2705.98	2240.94	1088.9	1819.73	1816	2103.63	2677
AAK1	1735.43	1849.81	783.33	1880.68	941.86	1405.45	2129.77	932.2	4079.39	684.86	892.38	1138.24
AAMP	3078	3719	3598.6	4056.99	3132	3104	4045.13	2649	2754	3371.98	3131	3815.59
AANAT	20	0	38	0	0	0	0	0	0	0	0	0
AARS	4060	5693	3913.28	6093	4494	6011	7247.54	3271	4924	4998	5156	5745.02
AARS2	469.38	629.87	581.96	930.64	678.2	647.34	1117.53	278.61	1125.7	690.56	782.46	704.45
AARSD1	1931.43	1242.58	1514	1443.06	1275.98	1135.21	1073	273.08	845.4	1125	1170	1035.03
AASDH	94	218.01	34	131	176	194.93	141	52	192	152	155	171
AASDHPPT	609	1190.7	669	1160.11	1465.57	1385.94	1286	868.25	1048.74	1078	1250.79	1447
AASS	308.09	308.95	115.67	342.5	235.08	268.95	476.57	98.64	630.82	267.3	220.1	176.84
AATF	2965	2158	1818	1863	1317	1524.04	2845	1037	1734	1674.63	1519	2134
AATK	462.93	765.01	518	557	677	593	837	182	656	467	290	233
ABAT	49.98	46	34	32	126	91	56	30	57	60	0	36
ABCA1	1365	1692.99	1327.68	2117	2057.09	3008.31	1647.49	1178.05	1811	648	519	490
ABCA10	38	42	54	58	25	79	92	32	47.01	43	46	34
ABCA12	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	1.04	8.25	4.05	0	0	0.99	7.79	0	8.88	9	1	0.99
ABCA2	321	882.02	257	712	665	744	749	128	1093	512.95	295	309
ABCA3	4557	7151.33	4478	8078.84	5286	7209.73	10428	2557	8225.03	6532.58	5953.16	6438
ABCA4	264	437	100.91	397	297.12	486	204.99	257	445.42	228.45	200	261
ABCA5	203	346	179	371.11	572	497	179	74	182	84	158	75
ABCA6	10	41	4	44	16	10	16	20	8	12	18	11
ABCA7	1801	979	1118	892	686	1055	1249	184	901	610	212	382
ABCA8	0	2	0	0	0	0	0	0	0	0	0	0
ABCA9	29	33.11	10.12	16.59	20.28	41.85	57.26	43.11	115.77	11.39	46.01	3
ABCB1	0	4	0	0	10	0	12	26	38.98	0	32	29.99
ABCB10	657	961	668	1075	962	1648	1501.64	767	1470	1261	1422	1339.98
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	35	38	54	48	44	62	78	8	113.02	90	112	107.01
ABCB5	30.2	17.49	33.88	1.21	5.75	1	27.96	24	67.63	7.02	10.05	2.79
ABCB6	654	838	908	785	995	1153	3403	3808	2161.19	2999	2375.01	2388
ABCB7	608.71	1051	565	954	1143.81	1089	830.95	551	633.99	515	745.99	778
ABCB8	1634.03	1591	1188	1542	1605.86	1373.81	1838	549	1168	1548.06	1442	1557
ABCB9	241	301	230	197.14	272	262.38	353	151	140	209	212	244
ABCC1	681	1294	829.13	1200	730	1460.25	2260.68	1237	2479.13	859.72	1008.95	1618
ABCC10	1091	2041	854	2446.7	2514	2462.61	3622.61	656	2868.34	2457	2754	2325
ABCC11	6	0	0	3	0	0	0	0	0	10	0	0
