	baseMean	log2FoldChange	lfcSE	pvalue	padj
44986_1	107.391475532079	0.102557707428661	0.445194187725943	0.765153725342334	0.857653751523697
44987_1	215.319796553921	-0.769248672086511	0.376476966284251	0.0148485021679756	0.050855749823069
44987_2	4039.2354744714	0.787491844756045	0.309355191556994	0.00416725671409055	0.019215528358496
A1BG	1850.93924805714	1.83484621536903	0.43263202973335	1.32417706158595e-07	4.47064299834216e-06
A2LD1	231.25803685959	1.15941373605601	0.36601363582671	0.000180791701837969	0.00168082461093067
A2M	9349.56912750151	0.884713947473838	0.321917077934758	0.00177406948659127	0.0100775067446261
A4GALT	197.741945863754	-2.52897447989881	0.653091786406568	1.90436954774944e-07	6.15716281308826e-06
AAAS	1650.3253727591	0.0156770412968685	0.234642715046074	0.943168752769113	0.967025953723354
AACS	847.086934321339	-0.416521454744921	0.280128038108866	0.102078886541028	0.216021547710905
AADAT	190.009644379089	0.173097618392626	0.371371023524141	0.57979107473714	0.725385519253668
AAED1	1009.56568287954	-0.212137908510201	0.278166372020546	0.40272742640667	0.571327438184396
AAGAB	2096.93736532959	-0.060093707038771	0.227888992071838	0.779248185571359	0.868328362093108
AAK1	1154.14914782871	0.56485248839729	0.305663660552569	0.0382848108708709	0.103567175862683
AAMP	3429.59060363068	0.04055076988675	0.212318646616528	0.840435819654344	0.906612387962816
AARS	4849.5900690733	-0.197034951173989	0.185523084890248	0.268891662954704	0.43392135533301
AARS2	638.785614163551	-0.300455713819414	0.269145747067775	0.223365236583997	0.380990779034347
AARSD1	1355.0617909544	0.452150137176649	0.295198513059522	0.0886029819174246	0.19451886475912
AASDH	131.236180168706	-0.318718685362902	0.470976349362615	0.364556335359022	0.53313842104814
AASDHPPT	1014.00793491594	-0.548082933728396	0.253084344746399	0.0192633849173669	0.061808116648847
AASS	230.022055462677	0.0793383455196544	0.398507607725953	0.807565307256972	0.885889741664978
AATF	2042.31768019099	0.36971172423334	0.269917572561514	0.134864745069074	0.266529046741571
AATK	450.527734903902	0.603234583058598	0.347279483070946	0.0437913626650674	0.11461659321537
ABAT	37.4501487898613	0.119688887963916	0.651468484624434	0.715484798795792	0.823682692715565
ABCA1	1001.78183410296	1.24977037409643	0.269301535463733	3.44500648341279e-07	1.01365811752838e-05
ABCA10	43.1824745619364	0.072181194260921	0.52778529998937	0.839462204861447	0.905991264415577
ABCA13	3.89235206124275	0.0117987786921404	0.762504231339649	0.96235375465886	NA
ABCA2	411.153026551223	0.199627147749302	0.381242238155476	0.529740461222828	0.683425375801604
ABCA3	5748.75573765465	-0.21602116336886	0.197180125690904	0.251532798598683	0.414425921528117
ABCA4	238.615159000606	0.109816070981508	0.400765127245923	0.736810052611532	0.838954833687029
ABCA5	170.266091609389	0.777412095544204	0.43534369297071	0.0237422120255105	0.0722413054567182
ABCA6	14.9038399056726	0.0625016912305196	0.658182949741168	0.846494845327232	0.909833152122491
ABCA7	870.215000611364	1.35729228073086	0.430468079876081	7.86702039692313e-05	0.000859306258140864
ABCA9	21.8955507737309	0.0459362716115683	0.6496778988776	0.888177219872511	0.934275677736215
ABCB1	10.4911289168954	-0.495532944904897	0.959974935198856	0.0817754350604875	0.183188172997418
ABCB10	1036.94014444241	-0.728473118745152	0.234978849395938	0.000907958881005263	0.00592744933523229
ABCB4	72.4073095386544	-0.703978219031608	0.506319536858706	0.0544374274878724	0.135069821798289
ABCB5	17.5607338830492	0.604801374846655	0.736909476505403	0.0945359322707495	0.204230375617655
ABCB6	1685.30362047009	-1.49216669275899	0.282731196274793	4.28593405014561e-09	2.30050858527543e-07
ABCB7	692.063951614275	0.0925989876239496	0.274139938876757	0.711757326684333	0.821032578029849
ABCB8	1483.47234303311	-0.0175376635245631	0.237315600252432	0.937055008184359	0.963633652706278
ABCB9	236.728928639914	0.18170860514967	0.321059426602607	0.521069128249891	0.675600197327964
ABCC1	1017.08774855109	-0.255883302798699	0.274323243887998	0.307323696715049	0.475288116664208
ABCC10	1878.90342609718	-0.837391316283743	0.269509121497788	0.000674485615394408	0.00469883308645788
ABCC2	12.9501756006114	-0.175728398838284	0.752763634977046	0.523549242671515	0.677792551681674
ABCC3	9.74785167668412	0.16277747456744	0.803190895172018	0.495206745211502	0.653591482862074
ABCC4	78.833988468929	-0.627575742925244	0.704651914269853	0.0893577700335395	0.195806684261506
ABCC5	1269.67638635424	-0.102383934207031	0.264361688771187	0.6738429835893	0.795333829024272
