	baseMean	log2FoldChange	lfcSE	pvalue	padj
44986_1	158.708577254333	-0.284331980837757	0.287567718410051	0.114028927570481	NA
44987_1	229.318215786635	-0.435177305536625	0.284646042784531	0.016504198646181	NA
44986_2	7.53227565959192	-0.0813828961077164	0.370334133763842	0.120828801975706	NA
44987_2	4949.0751255548	0.271494109469828	0.203662585129153	0.109518237485643	0.279721287137386
A1BG	2067.31387946064	0.862780062206772	0.331892202148589	8.04452169277344e-06	0.00551258333380609
A2LD1	304.523778454432	0.259886390517577	0.254954936604749	0.157767582753033	NA
A2M	10660.885213953	0.490240967180836	0.21897644725627	0.00535321584542734	0.0620529576401902
A4GALT	64.237367197465	-0.152689027965763	0.334712565019393	0.280080017613448	NA
AAAS	1962.76429372949	-0.238114483524145	0.184257917032081	0.135471830641612	0.316074377712837
AACS	795.795740608645	-0.127071979928916	0.229397125080826	0.478770994869608	0.655997467354127
AADAT	247.702285333354	-0.171507636661007	0.266815056726637	0.351005142151867	NA
AAED1	970.838235477143	-0.00468058578730281	0.235951893985277	0.979381668144773	0.988775925351632
AAGAB	2166.38928155406	-0.0109770872069308	0.192451285228519	0.946648723703056	0.968910067620445
AAK1	1401.07198472191	0.112717449542471	0.250035811338966	0.539101397952256	0.702677954300076
AAMP	3433.3603286158	0.13939019187155	0.198496981932676	0.404338653875247	0.591229276313945
AARS	4922.13003462297	-0.0899829236467313	0.170340712691198	0.551217105511332	0.712848230193935
AARS2	645.868677519462	-0.150856974476379	0.232427984671746	0.402610282779598	0.590023223463799
AARSD1	1450.09595430995	0.286410927094144	0.240065009312594	0.115613297365208	0.288150699158324
AASDH	133.504739162233	-0.129193460595971	0.315481875661719	0.428352830015575	NA
AASDHPPT	1043.90762619419	-0.37573712564566	0.218702788343245	0.0327017189374244	0.152711960425302
AASS	257.165082687248	-0.0228406123749554	0.283940021404344	0.899470808844208	NA
AATF	1965.98363798989	0.47115247848942	0.228850776460899	0.00859235071803895	0.077479470916632
AATK	585.60093838721	0.0450364430363562	0.226572293416704	0.800877934782707	0.882903699628206
ABAT	62.2549771392528	-0.151165812469014	0.33159121939273	0.299282301122548	NA
ABCA1	1870.24271621487	-0.386209978238785	0.190890530357713	0.0179626733467188	0.110817954034487
ABCA10	48.4041533753246	-0.00557183205014045	0.332114832776636	0.969151792144063	NA
ABCA13	2.25615836638575	0.0440628442194783	0.370277282952807	0.276633828472791	NA
ABCA2	565.999678488562	-0.228700153800366	0.263672376147622	0.214098867925192	0.408990426392443
ABCA3	5946.75021028237	-0.143467912314118	0.183369192740631	0.366851247385961	0.55883483174891
ABCA4	313.42051438706	-0.177060465439584	0.286162928670692	0.325796678440946	NA
ABCA5	348.834219266872	-0.442250103563845	0.258386553144096	0.0164017688004609	NA
ABCA6	19.4179713079595	-0.0281905090580097	0.354349233405662	0.778235488669347	NA
ABCA7	1112.26918185202	0.430292994183422	0.25235193409905	0.0192845409964287	0.115952032742702
ABCA9	24.2331274135881	0.00332310583923772	0.34681738767746	0.977599847338806	NA
ABCB10	958.752462380051	-0.34056797102987	0.213797748025148	0.0503724051274112	0.186180110585185
ABCB4	46.5502218171435	-0.0114642204174932	0.329183591587326	0.938279193400505	NA
ABCB5	16.2678796052674	0.237803449193713	0.379558493170016	0.0114404552810432	NA
ABCB6	879.243262431911	-0.0599432301179527	0.229233854080253	0.738222911244274	0.843621807278712
ABCB7	874.67493761021	-0.25752576842636	0.216608553344992	0.141450106433776	0.324935829700684
ABCB8	1482.39090793702	0.0899473826487927	0.212127014903944	0.603859226912873	0.752758654484454
ABCB9	248.611945529977	0.12027129980654	0.260461469938186	0.513562358811651	NA
ABCC1	995.164696681774	-0.0680932470019551	0.228660143406658	0.703946330325441	0.820017110391241
ABCC10	1823.3614383652	-0.521680407557903	0.215182382653926	0.00280743676979809	0.0475093707146445
ABCC2	14.0052827761244	-0.0488721324578565	0.363955791807636	0.481980246133444	NA
ABCC4	99.9262494939015	-0.258071884107022	0.357137146017231	0.0293825249583679	NA
ABCC5	1267.43958523192	0.0217254312304178	0.190470123378272	0.89395425148234	0.939767308105127
ABCC6	16.4165004586146	-0.0844857578413507	0.361116005674808	0.308454569640156	NA
ABCC9	282.71401461358	0.159002142160037	0.280048784384729	0.382019688508431	NA
ABCD1	964.846244977472	0.210174426392517	0.215198779539782	0.228665361078722	0.423405724662513
ABCD3	1129.40772566198	-0.126142587601568	0.21324446328073	0.467998272667375	0.646778565188986
ABCD4	3192.40736810857	0.164887766517917	0.184159020097471	0.301070744872672	0.497299822264389
ABCE1	2650.43055374164	-0.238615276658887	0.210125559598614	0.166639189619697	0.354543765913644
ABCF1	2444.10616070492	0.469514159995449	0.22242110580207	0.00807576690815203	0.0748010750499756
ABCF2	2871.73907652532	-0.0262639905165976	0.192608920182601	0.872863478581737	0.9272674016795
ABCF3	2281.630567204	0.0536195533805491	0.207378259779608	0.754308578825723	0.854371754615204
ABCG1	2766.65240640628	-0.264788652461109	0.198813139965975	0.113515539398604	0.285281515948513
ABCG2	1038.07318502832	-0.279185235951155	0.221198217377162	0.114343362998413	0.28644328403311
ABCG4	8.80372539556213	-0.0107204556059037	0.365257213362703	0.861512926788583	NA
ABHD10	985.497554543396	0.082142489878977	0.197005267194695	0.621570809932953	0.764900651201367
ABHD11	280.937813910429	0.275413136984145	0.268606199388997	0.13405824981601	NA
ABHD12	3207.94240571896	0.165009323861004	0.192829494762912	0.315062539372552	0.510827655394852
ABHD13	939.164678233531	-0.222155064194222	0.242107580772577	0.223244422570864	0.417721725281081
ABHD14A	1382.16474319946	0.366236151460747	0.230998907960246	0.0417578983282191	0.171722547801354
ABHD14B	1513.55179603316	-0.0413474703507897	0.202820913258208	0.80699676971189	0.88653114923067
ABHD15	491.851101724258	0.0194224811616639	0.221593494155479	0.912592629136625	NA
ABHD16A	2683.00766666668	-0.209903005873493	0.196970549821747	0.20712512853804	0.401641303445702
ABHD16B	204.247705484056	0.568289544139291	0.301599560773399	0.00160241186493816	NA
ABHD2	1589.29327809109	-0.462966363075649	0.235151417075974	0.0105258073573016	0.0859169025539743
ABHD3	124.715538867546	-0.0157741604185821	0.287484492877875	0.930037435264585	NA
ABHD4	3067.29377251105	-0.50183904142072	0.222600353231383	0.00465047253982576	0.0589026096565001
