	baseMean	log2FoldChange	lfcSE	pvalue	padj
44986_1	104.705080833111	0.147489259722358	0.485758369076919	0.706895784876424	0.824802121789674
44987_1	169.853489174399	-0.364144001082449	0.438671341740581	0.325842819676697	0.513147153039686
44986_2	7.74505876512438	-0.43422386921746	0.948081908964232	0.130272217383891	0.275100790122576
44987_2	3723.91996915188	1.0858066384296	0.358084770286999	0.000693622412257055	0.0062064032096293
A1BG	1844.8332066622	1.6389832320288	0.517401733409042	5.69626555383409e-05	0.000908879667039496
A2LD1	215.101200159397	0.41628318379053	0.803576937028776	0.261689111904804	0.442962310068251
A2M	14373.9217806724	-0.267824507124209	0.38980233168646	0.434263124702548	0.617130786550398
A4GALT	156.067715130779	-1.71987589660935	0.688123991065213	0.000269867968488873	0.00305582505261593
AAAS	1422.25311433156	0.406642174615207	0.296702343994325	0.140851911266557	0.289920713462511
AACS	732.187084161962	-0.109232339154449	0.36028955101765	0.735382620847809	0.843447392711671
AADAT	175.098403571778	0.310262845954808	0.505001212235018	0.437559002806114	0.620101733790445
AAED1	965.777489345903	-0.12611594560794	0.3378936769223	0.6816344668106	0.808909141005298
AAGAB	1828.45478111817	0.288902291341358	0.287241324255607	0.282199843360931	0.466527696608036
AAK1	1794.38673033713	-0.470389278027537	0.398752432443288	0.176448931746335	0.339451072939126
AAMP	3291.38662782483	0.130927224908002	0.309750426861279	0.647556033540335	0.786117061201311
AARS	4649.22209521106	-0.102027787526267	0.265348672460628	0.684109475631177	0.810230878223966
AARS2	647.486016410348	-0.319164691005411	0.377826159798039	0.340518531851556	0.527510827254267
AARSD1	1123.46336610914	1.06051924206743	0.384111553540874	0.0016763423860638	0.0119686153342686
AASDH	110.471036885145	-0.0819907394005317	0.548854768784229	0.842067250385157	0.910781488932969
AASDHPPT	922.264685176309	-0.348122713200835	0.32896790964228	0.247190373163564	0.426254718303211
AASS	293.11879608658	-0.365539020529847	0.480958134200652	0.349248360752898	0.535409860997444
AATF	2026.69076083298	0.37455542898145	0.33189440509282	0.216361079413257	0.389427186059359
AATK	525.536072156257	0.176574057567477	0.380852929470944	0.600145994160361	0.752243056221877
ABAT	44.2528091527467	-0.0324723532776433	0.592911169146678	0.937981389773588	0.965050745979289
ABCA1	1483.74039021673	-0.0604580398335549	0.30270730761884	0.829611397634764	0.902273383726268
ABCA10	48.6833806027486	-0.100921366743706	0.589230739304061	0.808885365963985	0.888924486008293
ABCA13	4.26463384210491	-0.0208224763031495	0.854335635975431	0.940530009339577	NA
ABCA2	505.110761609539	-0.219860478809725	0.476706119320514	0.571509493179865	0.731168927314657
ABCA3	5719.87583746586	-0.203521225051152	0.317215793663552	0.485932941582227	0.662327954028345
ABCA4	279.621742944205	-0.199999420010125	0.479475288910163	0.607811209291147	0.758240883469638
ABCA5	183.349831340611	0.591472958073	0.428731139956034	0.105397656937224	0.237201039531579
ABCA6	16.1708948665283	-0.00234562925005053	0.742985533040095	0.99507051869633	0.997474950644561
ABCA7	996.809014362802	0.754406117835428	0.436333046849457	0.0410577970335608	0.121242718159932
ABCA9	46.1656338061819	-0.749247171920409	0.653266880069802	0.083185939838125	0.200530994256723
ABCB1	14.238067090462	-0.967686772632784	1.07887976942593	0.0160770917775622	0.0617551589323305
ABCB10	961.850856418885	-0.571357566075843	0.298063889874846	0.0392099511660634	0.117304246386234
ABCB4	49.4190438499893	-0.159211632442367	0.63903725254398	0.702460384816584	0.822154374755719
ABCB5	33.4725292135152	-0.182818802248939	0.655877881440367	0.659349470747039	0.794062525464492
ABCB6	2091.09362567569	-1.68398882417381	0.439394754728707	4.40704290239275e-06	0.000125692536111993
ABCB7	688.683577018737	0.0882749230435501	0.33758250755684	0.7738444115472	0.866933714736594
ABCB8	1262.78761907818	0.393555215607526	0.324207596266527	0.185540912502633	0.350836338696276
ABCB9	228.294060381631	0.242581705337195	0.426241532876344	0.505088923585899	0.678773668782857
ABCC1	1397.77761570346	-0.922533242621844	0.307601506702623	0.00115776029119828	0.00913536731596769
ABCC10	1648.89719169677	-0.543769184626727	0.383160369980216	0.107836360761081	0.241182777131058
ABCC2	25.6027532437423	-0.574465136997786	0.841823934482162	0.128519073856933	0.272314830692063
ABCC4	48.668896820471	-0.299442055317006	0.727596052006641	0.451082828119808	0.63297703125873
ABCC5	1518.89694080002	-0.482786023104652	0.359039308161561	0.134021307402379	0.280628892373596
ABCC6	9.89711570457778	-0.0969767858505278	0.824057832176462	0.759497222571388	0.858191757547576
ABCC9	437.813633336825	-0.626408991305014	0.481436596136815	0.109248061240918	0.243742822423105
ABCD1	1024.43365903526	-0.0300097972288929	0.309637877597777	0.916523239676395	0.953797274889384
ABCD3	1310.24098464907	-0.61890588180028	0.285815959730442	0.0205947770735859	0.0735144209945765
ABCD4	2450.44228486471	0.84493020480335	0.301802776656887	0.00251439826194837	0.0161910217338068
ABCE1	2956.42559950122	-0.647388408815633	0.314131822075175	0.0253119029565884	0.0851271197850408
ABCF1	2999.91494355504	-0.0904707096850097	0.331639053899394	0.765158412301467	0.861614901180942
ABCF2	2835.85340996881	-0.139198686242728	0.293273198564496	0.610784993383249	0.760149687219698
ABCF3	2105.74892765191	0.129863698080881	0.300165442133599	0.64153314637199	0.781856029006725
ABCG1	1902.10817993456	0.489143670823783	0.319035090834527	0.0954008192936456	0.221212265604676
ABCG2	822.489355028801	0.029124600679481	0.352815375234166	0.927035470303411	0.959296828243566
ABCG4	8.8891987865228	-0.0867822564482413	0.817298915486904	0.788103263657836	0.876168075318806
ABHD10	819.501960224525	0.451724269366556	0.313011166522369	0.117756023200192	0.256048277892412
ABHD11	243.198195106993	0.666934912607099	0.444807486695563	0.0743895197256635	0.186211834895654
ABHD12	2576.31234644398	0.683313922207044	0.311872571610451	0.0175362421248532	0.0656470206970853
ABHD13	905.577056854542	-0.372899963152629	0.327538063799028	0.213503609509227	0.385653043169457
ABHD14A	1016.24832436558	1.45264811719596	0.407419045219142	3.24213356565695e-05	0.0005872863870511
ABHD14B	857.752561252812	1.86238718484344	0.384412203565345	2.1251351863893e-08	1.64367800574404e-06
ABHD15	487.683345742346	-0.0891925584747332	0.34875240080653	0.777189943484754	0.869117001005252
ABHD16A	2681.50064128078	-0.381749316161978	0.294340388534124	0.163972843040812	0.322377169347289
