	baseMean	log2FoldChange	lfcSE	pvalue	padj
44986_1	153.74902474824	0.457191513840717	0.38872646544525	0.0481502363864935	0.14586473611449
44987_1	310.35585128648	0.017665784859681	0.252033274870287	0.923096340604719	0.962491736991713
44987_2	3619.62545897813	0.398707442285392	0.234406507425687	0.027862880332475	0.0965768899067759
A1BG	831.831280483299	0.302124322551981	0.199121856364682	0.0655234622796944	0.181660309716708
A2LD1	193.179136085385	0.639302411411835	0.349884184264198	0.00604671692803746	0.0293709731216776
A2M	7182.11750676293	0.229737976286219	0.209366174215233	0.174001085957475	0.356868795735463
A4GALT	228.243246902065	-1.93476650737911	0.419810269985573	1.14451568543298e-07	2.47108921478134e-06
AAAS	1970.51970802811	0.268673001316704	0.168568247340722	0.0667964743503043	0.184080432747475
AACS	957.137906838254	-0.21055381792885	0.182560226362072	0.174544812693416	0.357720538862179
AADAT	232.994023825657	0.347310814559539	0.291487480635379	0.0837509349579276	0.214278067283502
AAED1	1074.50062251367	-0.177728923272424	0.181710698630127	0.250356007466542	0.455091732147117
AAGAB	2238.27216210208	-0.0355033628218769	0.158773963219342	0.800642855618372	0.895274803865541
AAK1	1123.83445811567	0.340891613338293	0.222914369942729	0.0523866226977694	0.154661036185952
AAMP	3405.54124413227	-0.114640865534704	0.158063024681687	0.413131339767339	0.622311199307731
AARS	5346.75507739254	-0.0761756501305336	0.140859166695782	0.552096837732359	0.735352555304008
AARS2	734.548574173762	-0.066486202337926	0.201870895734385	0.687147604240735	0.829209799575643
AARSD1	1189.86483443148	0.0440904003829747	0.184607242391934	0.777804953441158	0.882995987741221
AASDH	161.814993323465	-0.0363635620866743	0.266515524885409	0.845258735041447	0.920480593162461
AASDHPPT	1285.64775136779	-0.0335072901412338	0.176924525157994	0.82540869020543	0.909890083099882
AASS	249.483429450072	0.0959184414704682	0.256227469843643	0.603439683146414	0.774516223732439
AATF	1655.05527666846	-0.246806683279234	0.173226736445148	0.0987905815400597	0.241488088209035
AATK	463.943102000202	0.446442541598157	0.296975174408393	0.0303307698373842	0.102842328340109
ABAT	56.4840514384765	0.270929338471685	0.539197032502635	0.21673467575186	0.413118956271614
ABCA1	1408.22539313141	1.87757887228407	0.224504590719003	3.27136049457955e-18	3.76503853285246e-16
ABCA10	46.3521417986531	0.0547518939215914	0.37116718711371	0.778190979300541	0.883159495122559
ABCA13	2.13839761586164	-0.159789073632697	0.746866538716155	0.273472722199766	NA
ABCA2	529.023380412198	0.519392940619922	0.28097865366023	0.0103915435728779	0.0448721351305109
ABCA3	6500.53708149019	-0.0312907617760979	0.154206439805382	0.82003373601214	0.90676431695292
ABCA4	302.268092824379	0.400797771480681	0.261895365331151	0.0373623366204292	0.120469529931951
ABCA5	283.926420548061	1.80873062815029	0.409190014493534	2.82376981063105e-07	5.56206766376917e-06
ABCA6	18.2323442748658	0.110011641601341	0.472212515952051	0.571324394921129	0.750237013076063
ABCA7	619.674219862541	0.65111006310753	0.3436965424762	0.00489784075199946	0.0247542794964728
ABCA9	23.0477855735251	0.0275013006282345	0.460190937630819	0.883910647540256	0.941440893127771
ABCB1	12.2543703577749	-0.259941201575712	0.718272006520972	0.182835389558877	0.369170021023187
ABCB10	1271.81218793498	-0.214766145802487	0.189501781361513	0.176608979970637	0.360328756201151
ABCB4	77.7160482521025	-0.591729351103533	0.47125932909651	0.0236420758960474	0.0852069226005062
ABCB5	4.91390138648221	-0.130295756291834	0.610435930523671	0.458016571534681	0.658592935995449
ABCB6	1818.2557267154	-1.49375573727076	0.220867901264229	7.76194560392237e-13	4.1256814687108e-11
ABCB7	854.972461572864	0.370419952185061	0.211259158832548	0.0296271020099083	0.101099490955644
ABCB8	1505.6738732724	-0.111399705336038	0.172620828303804	0.455639144592535	0.656516371194582
ABCB9	230.568913099717	-0.000322193281720052	0.245854992548224	0.998582535269985	0.999106731426241
ABCC1	1118.3951103764	-0.12238728835785	0.210251469063345	0.469045366490137	0.668235092674282
ABCC10	2486.6288900654	-0.134078176223826	0.165926957871915	0.355667376911076	0.568333252194237
ABCC2	19.900775501087	0.0109882618887741	0.444164926927859	0.953762350816875	0.976840074830904
ABCC3	4.49945007669277	-0.00528874487208219	0.629881607519975	0.971349403866441	0.986392085860817
ABCC4	149.591637825839	0.144113351029331	0.307280100916228	0.460454779804374	0.66099301758125
ABCC5	1335.35773815932	-0.0999797431423007	0.192649673156153	0.533474684139868	0.72197944133448
ABCC6	15.4218610150237	0.279170784467174	0.671470550872444	0.18328881558987	0.369774576386556
ABCC9	217.890030795496	0.220487122468532	0.271516189884522	0.248735491354661	0.453208527647627
ABCD1	947.840253519748	-0.177075625187076	0.186212039605537	0.25980636929873	0.467329307524426
ABCD3	1518.72621136952	-0.430756443078481	0.21256883963198	0.0118273345056594	0.0498509262487326
ABCD4	2559.78111441366	0.405219358546788	0.154436699311808	0.00303868532475396	0.0168996532877491
ABCE1	3891.07359834449	-0.507693076592305	0.220832903898111	0.00385497291659086	0.0204278359347201
ABCF1	2004.47601514895	-0.152427212301193	0.196667076306572	0.348704540194217	0.561783830025991
ABCF2	3382.28600403702	-0.305392570542225	0.160586566509052	0.0306803437500869	0.10368694981275
ABCF3	2307.31027503699	-0.0622858973889628	0.157803921605392	0.656268816020575	0.810212724459444
ABCG1	2284.25449350396	1.08343908449621	0.213930983352944	8.62086114412442e-09	2.31318135439454e-07
ABCG2	1175.61013363335	0.0543786791524587	0.190810493490403	0.733276797053258	0.857401995495177
ABCG4	10.9983824873698	-0.027268277586248	0.525538055193385	0.878588616178203	0.937780721154108
ABHD1	2.39949065035135	-0.0724200478395863	0.664856561534465	0.611741249584682	NA
ABHD10	864.884578570267	0.218402980775325	0.19768552796929	0.180948930379499	0.366796914769272
