	baseMean	log2FoldChange	lfcSE	pvalue	padj
44986_1	150.616221618504	0.589866696955268	0.395148648456738	0.0366565934316974	0.127504722308041
44987_1	261.574251913015	0.331504060247122	0.332357861631238	0.184827657206931	0.380830063501986
44986_2	15.0008468832017	-0.0211838928041918	0.643679701071688	0.923786755692167	0.962351854202411
44987_2	3284.59777084559	0.674442257208275	0.324537139944208	0.00814771172568072	0.0437317217974582
A1BG	826.078924510384	0.228178632138557	0.341187863197677	0.364327750457345	0.579863755512298
A2LD1	176.352443961698	0.19320979940111	0.654041562088667	0.424188411941202	0.635293567506347
A2M	12620.9459097515	-0.826210328024334	0.381482352902162	0.00402135174301263	0.0261850726065505
A4GALT	185.839546964483	-1.18681262938012	0.576794789656611	0.00165150251912947	0.0134005737969295
AAAS	1726.8615295982	0.64693615273571	0.233552505159127	0.00133914764554027	0.0114924545818422
AACS	837.391433158308	0.0319641907768723	0.258204913345241	0.880763848415262	0.938636358084323
AADAT	216.997874085364	0.425142170093782	0.430078676715262	0.135810537191358	0.311603507135331
AAED1	1030.53423382573	-0.122653656547382	0.231013775185383	0.534232172795176	0.720889764320406
AAGAB	1955.391453798	0.259809381526327	0.203434158333082	0.147034755784258	0.328102327399299
AAK1	1816.5315377181	-0.553478937074056	0.370245983456396	0.0414248175242573	0.139567317020308
AAMP	3265.1329584098	-0.0450749304676193	0.242672280650201	0.825426741371389	0.911747141769412
AARS	5146.50829940678	-0.0164703786123018	0.200293270509357	0.926053253620808	0.963239770975883
AARS2	746.952499084984	-0.111356459984804	0.302253559251086	0.635285363855035	0.796315753200128
AARSD1	944.773594114439	0.58311646357508	0.316016434712294	0.018734628813752	0.0800459319774273
AASDH	140.10735945147	0.164399272212488	0.357878782236036	0.520782852888943	0.709664011127967
AASDHPPT	1188.50970809187	0.10338845757359	0.243289367813407	0.61349459679312	0.779994074293878
AASS	318.444441250254	-0.280306971332627	0.375473422118852	0.288620236551986	0.504289471964989
AATF	1646.52798575075	-0.25523820569044	0.238712107862904	0.206236546028595	0.408974126539879
