	baseMean	log2FoldChange	lfcSE	pvalue	padj
44986_1	99.3533157004147	-0.00157062026774065	0.184681476300202	0.979734982973383	0.997748126920977
44987_1	244.999801474312	-0.103204529548277	0.183506369206095	0.188072494101809	0.712185613936222
44987_2	2455.07746123123	-0.0561677994784967	0.175668985461899	0.437469830627361	0.857456182026032
A1BG	673.460168291333	0.00462094653578728	0.174199023516761	0.945647272277638	0.990679658681466
A2LD1	109.186205300872	-0.0168786836542466	0.227514175495247	0.735024605661136	0.947522019181014
A2M	11221.2176477418	0.802616719899566	0.604735378498542	0.000780991820405881	0.0543605476431862
A4GALT	311.998578574757	-0.046804099678106	0.184548062909469	0.486170595142173	0.877849597187854
AAAS	1421.84444451414	-0.123510805142465	0.163585640200601	0.147707820892235	0.664734660800354
AACS	882.519960745538	-0.0790905123856254	0.164758481901752	0.322054457309427	0.796282182196687
AADAT	160.221032058476	-0.0209855301724888	0.189142619992921	0.731612848860733	0.94671909014824
AAED1	1062.51828034424	-0.0202667276814374	0.149193648828798	0.808980553517926	0.964146961738743
AAGAB	1888.28617107748	-0.124138921289054	0.152975168788416	0.155473756155956	0.675697391728248
AAK1	1546.62729720455	0.78904176042969	0.554995123689676	0.000622116899817442	0.0486046912775976
AAMP	3260.25796284957	-0.0199684562775728	0.152699221521596	0.807736752831675	0.964019551891974
AARS	5043.4133363228	-0.0213289932072731	0.142934470481697	0.804964666683768	0.96383455322966
AARS2	731.817308166087	0.0189754427040608	0.166116277847297	0.796683767304624	0.961307924397123
AARSD1	871.506340156595	-0.19573834521539	0.228802435489302	0.0352076814456861	0.415419739660008
AASDH	136.831875242165	-0.0527169222024715	0.186668034453218	0.435545644901853	0.856011892996048
AASDHPPT	1147.14636911967	-0.050999197749255	0.154471000867041	0.534718743130865	0.896877286681826
AASS	287.620083505965	0.103195368124772	0.222845760291787	0.159045764623655	0.680589865935372
AATF	1734.64586695621	0.00952464399144428	0.15079687914086	0.908571312644503	0.984693453242675
AATK	411.741243586436	0.0982044563618103	0.204222380250376	0.184894155575431	0.709319182069055
ABAT	38.8329683852937	0.0227004623659948	0.2414709949676	0.633927656116259	0.923138257790452
ABCA1	1047.60279782378	1.36070614465648	0.332310967002628	1.60145835745215e-06	0.00119557763374678
ABCA10	46.7399344052486	0.0350302757375611	0.205050057953967	0.549972760462915	0.900780020655054
ABCA13	4.20621045193063	0.00488749860853845	0.273739173418741	0.881822160391812	NA
ABCA2	472.229332138204	0.085526192451661	0.214714006937705	0.219081842312313	0.736742191439657
ABCA3	6246.57738961937	0.0114551184586311	0.157923446932179	0.88447206974982	0.979701290309171
ABCA4	269.124061231315	0.0782476123098382	0.193068330125604	0.2729444025463	0.76648783146024
ABCA5	120.277446615343	0.0488826552753309	0.192017946595243	0.452987334643956	0.864419739128867
ABCA6	15.0150773295175	0.011944565257553	0.23530194751211	0.8004714522753	0.963218758941876
ABCA7	533.381073170948	0.112095866290251	0.232691701055322	0.1339255103504	0.650244477613844
ABCA9	45.439870425286	0.137058772247373	0.37016977068928	0.0624962515771823	0.522981372484666
ABCB1	23.7429149767852	0.0172288813770289	0.247624417397564	0.700812271978397	0.938132870527332
ABCB10	1255.27427110352	-0.0377267435795771	0.149059431412325	0.654162420039488	0.927771461793208
ABCB4	78.6055322890972	-0.067032478957278	0.236852700460789	0.276695185826799	0.77029830270158
ABCB5	23.1030558033774	0.261767338446718	0.551100490524082	0.0124690253723294	0.259664585941184
ABCB6	2989.39880868284	0.0791930329745955	0.18352510316543	0.283432556751086	0.774296950116101
ABCB7	667.182553398799	0.0106297331095253	0.158901711386926	0.891872206880955	0.980290695324551
ABCB8	1280.66004717953	-0.127637506211011	0.168485209789152	0.132921670150837	0.649291677021791
ABCB9	210.826695588414	-0.00941717235780192	0.172462251850987	0.891491347503534	0.980290695324551
ABCC1	1522.78184397716	0.294590045821933	0.271777329200852	0.00797755359140553	0.20891499298878
ABCC10	2272.06047493673	-0.0449684854824955	0.169689895268339	0.541401536650114	0.89828050115769
ABCC2	31.5209341318518	0.104687448872722	0.300672404232076	0.122819539228144	0.639770807210169
ABCC3	2.78767766426445	-0.0146014607137988	0.291234417656292	0.567939602224574	NA
ABCC4	94.4158451347234	-0.103518732478216	0.25152127752341	0.145759859977278	0.663496844217615
ABCC5	1588.1215076334	0.106183996987081	0.188845205447586	0.173596852823532	0.698311523216302
ABCC6	8.85211040252537	0.0194541285089793	0.277349315724131	0.575635934099691	0.909749766524868
ABCC9	381.769405940579	0.894281346067765	0.699552704253881	0.000751137027271169	0.0531393823601005
ABCD1	1009.66442765767	0.0438491995460952	0.152189787878363	0.597066008675431	0.913617581493702
ABCD3	1676.5532869614	-0.00884914537901654	0.149443869431243	0.915710890713578	0.985292593758152
ABCD4	1843.10103863025	-0.0708925797469596	0.153622643701278	0.396365303682644	0.837011842188938
ABCE1	4117.58599906411	-0.0568033768590869	0.160687517369513	0.474624460157573	0.873630893746984
ABCF1	2601.83861234472	0.177948740475143	0.210989948704329	0.04754393178333	0.469086163953295
ABCF2	3311.20406118004	-0.0714233386794157	0.15047115487611	0.399752327159855	0.839516030256277
ABCF3	2126.07640861515	-0.0402225045604225	0.145643508123233	0.638644670691279	0.923919570125855
ABCG1	1436.03822315657	0.0645883031313935	0.160141179708632	0.421468264215351	0.84850943541321
ABCG2	949.752684341428	-0.0817248772761048	0.169965141683414	0.296886838391216	0.785656820461039
ABCG4	10.9569788836586	-0.000535164600319873	0.244503065087901	0.99027648714597	0.998944966516139
ABHD1	1.66224077349003	-0.025209159972451	0.307077836067301	0.274082609051808	NA
ABHD10	702.78273655005	-0.0174062177466205	0.157711273526723	0.825798631849536	0.968445780072303
ABHD11	170.278642713805	0.00308706092707372	0.179164577994646	0.961980120608286	0.994587402692995
ABHD12	2391.41537815413	-0.175465717721024	0.185983767488512	0.0510356363890292	0.486186898650011
ABHD13	1082.97966606141	-0.0109380310716259	0.157234051640424	0.890242631373946	0.980290695324551
ABHD14A	448.732587629347	0.0148804585707944	0.179412550347975	0.819354650731793	0.96696538522873
ABHD14B	361.010684746083	-0.0448850454160061	0.182761293613115	0.50635239026009	0.888182145975081
ABHD15	542.441530202467	-0.0304375686924282	0.160495350741045	0.695716345940394	0.936294359581239
ABHD16A	3773.11558981907	-0.175241570972572	0.162570580007258	0.0535035315932105	0.493812977942688
ABHD16B	68.9154218437316	0.0285009660682106	0.239517745078955	0.565309880307822	0.905792429135594
ABHD2	2386.27054366179	0.029618680238207	0.156928335035506	0.710941646623449	0.940451884777085
ABHD3	265.318389026406	-0.0238642149595701	0.167649650145386	0.743470888440885	0.950338434852493
ABHD4	4399.65221539606	0.100265399888398	0.205788822691618	0.177485323332326	0.703186633253411
ABHD5	831.233001853032	0.00327563503505832	0.162930394487115	0.965352751211912	0.995298906373511
ABHD6	1594.70554133947	-0.0615692950215701	0.16147796801935	0.438475031092724	0.857879979026
ABHD8	904.58570002146	0.0235206260910688	0.176513852289609	0.727560754847328	0.945570285428738
ABI1	2988.68930430603	-0.0330393530364042	0.155453568206194	0.682917518765862	0.933829405117751
ABI2	2403.95279717898	0.0941401406438295	0.146519618723918	0.279562188758164	0.771904970495959
ABI3	2574.94895781332	-0.0893383751433033	0.174868123942654	0.252001627985449	0.756704136938293
ABI3BP	10.2875878199537	-8.45616847788509e-05	0.266812961442814	0.99812000343009	0.99971269511802
ABL1	3260.99713521974	0.208180154552287	0.177337940004908	0.0267069364590075	0.376982995941327
ABL2	1954.49397952743	0.14195922249078	0.199193931769513	0.0901718851256147	0.590799508687475
ABLIM1	2502.23234792084	-0.033178242575525	0.150436764360336	0.691034065565078	0.936024967344615
