	F16	F17	F18	F22	F23	F24
44986_1	198.760480334477	289.287107601188	189.891904250217	191.233168125673	106.542371422382	70.3623588295629
44987_1	327.549158918551	416.146617901708	295.090236182261	221.373178319393	355.141238074608	184.807159335479
44986_2	12.16900900007	23.7120580000973	5.34906772535821	4.15724278534072	4.05875700656695	0
44987_2	3767.322369605	2993.64732251229	3509.87993912255	2107.72209216774	3046.09713342849	2463.53029829771
A1BG	1290.92903809076	487.282791902	787.204466915217	622.547107104773	736.664396691901	755.335683339043
A2LD1	289.013963751662	145.829156700599	230.009912190403	126.795904952892	238.451974135808	144.96341397416
A2M	15692.9511896736	26010.9420232068	28948.2630183511	32645.7882825843	30323.9882853133	28326.3597341086
A4GALT	56.7887086669933	96.0338349003942	56.1652111162612	383.505646947681	411.963836166545	455.235984234642
AAAS	1360.90083984116	1720.30980790706	1681.3902883376	963.441015502712	1401.28585651724	1248.71993440899
AACS	686.534924420616	671.051241402755	749.76099283771	885.492713277573	873.647445663536	1052.04442539142
AADAC	0	1.18560290000487	10.6981354507164	0	0	1.69547852601356
AADAT	174.422462334337	324.855194601334	185.434347812418	153.817983057607	115.674574687158	159.374981445275
AAED1	1299.04171075747	1033.84572880424	1362.22924739123	1287.70595275929	1226.75930523486	1383.51047722707
AAGAB	2206.64696534603	1655.10164840679	1796.3952444328	1830.22613624625	1779.76494737961	1745.49514253096
AAK1	1829.40768634386	3354.07060411377	2259.08960267629	2501.62084607878	2272.90392367749	2265.15931075412
AAMP	3224.78738501855	2517.03495671033	3157.73298053647	3068.04517558145	3048.12651193178	2956.91454936766
AARS	5365.51888494753	5054.22516272075	5315.19029643095	5408.57286372827	6099.29709161848	5827.35969390862
AARS2	731.154624087539	921.213453303782	1190.1675688922	1097.51209532995	1052.23275395248	971.509195405772
AARSD1	941.070029338747	765.899473403144	697.161826871687	702.574030722581	656.503945812204	668.018539249344
AASDH	136.901351250787	157.685185700647	181.868302662179	183.957993251327	153.218076997902	106.815147138855
AASDHPPT	1358.87267167448	1693.04094120695	1057.33238704581	1337.59286618338	1184.14235666591	1109.69069527588
AASS	415.774474169058	452.900307801859	482.307606569799	543.559494183299	352.097170319683	353.507272673828
AATF	2119.43573417886	1581.59426860649	2234.12728662461	1933.11789518343	1999.95251498586	2151.56224951121
AATK	1127.66150067315	1337.36007120549	1060.89843219605	1224.30800028284	896.985298451295	958.793106460671
ABAT	61.8591290836892	56.9089392002336	65.971835279418	40.533117157072	18.2644065295513	30.5186134682442
ABCA1	2092.0554639287	2488.58048711022	1355.09715709075	1660.81849274362	1329.24291965068	309.424830997476
ABCA10	67.9436335837242	46.2385131001898	54.3821885411418	57.1620882984349	58.8519765952207	72.9055766185833
ABCA13	1.01408408333917	4.74241160001947	2.67453386267911	1.03931069633518	8.1175140131339	5.08643557804069
ABCA2	1089.12630550626	1715.56739630704	1577.97497898067	1584.94881191115	1207.48020945367	1255.50184851304
ABCA3	7225.34909379156	10295.7755836423	10181.9504152194	11149.7251502838	11498.4585996042	10239.8425578589
ABCA4	295.098468251697	349.752855501436	556.303043437254	217.215935534053	237.437284884166	212.782555014702
ABCA5	355.943513252047	510.994849902098	381.566831075553	279.574577314163	174.526551282379	123.76993239899
ABCA6	75.0422221670983	21.3408522000876	65.0803239918583	25.9827674083795	14.2056495229843	50.8643557804069
ABCA7	765.633482921071	1049.25856650431	819.298873267366	685.945059581219	610.842929488326	556.116956532449
ABCA9	43.6056155835842	60.4657479002482	45.4670756655448	47.8082920314183	40.5875700656695	39.8437453613188
ABCB1	0	16.5984406000681	10.6981354507164	58.2013989947701	22.3231635361182	38.996006098312
ABCB10	1208.78822734029	1091.94027090448	1080.51168052236	1675.36884249231	1370.84517896799	1158.85957253027
ABCB4	81.1267266671333	117.374687100482	93.6086851937687	126.795904952892	127.850845706859	102.576450823821
ABCB5	19.2675975834442	2.37120580000973	13.3726693133955	25.9827674083795	16.2350280262678	16.9547852601356
ABCB6	918.760179505285	1171.37566520481	1260.59696060942	2439.26220429867	3076.53781097775	2231.24974023385
ABCB7	696.675765254007	789.611531403241	757.784594425747	642.294010335141	658.533324315487	611.22000862789
ABCB8	1261.52059967392	1266.2238972052	1264.16300575966	1500.764645508	1447.96156209276	1717.51974685174
ABCB9	245.408348168078	342.639238101407	419.90181644062	404.291860874385	446.463270722364	471.343030231771
ABCC1	1941.9710195945	2272.80075930933	2444.5239504887	3074.28103975946	2784.30730650493	2320.26236284956
ABCC10	2036.28083934505	2227.74784910915	2109.31570636626	2760.40920946624	2946.6575867676	2624.600758269
ABCC2	24.33801800014	30.8256754001265	41.901030515306	38.4544957644016	22.3231635361182	34.7573097832781
ABCC3	2.02816816667833	2.37120580000973	1.7830225751194	4.15724278534072	10.1468925164174	0
