symbol	H9_MplusCHLA_1	H9_MplusCHLA_2	H9_MplusCHLA_3	CAR_MplusCHLA_1	CAR_MplusCHLA_2	CAR_MplusCHLA_3
A1BG	43	686	462	61	171	317
A1BG-AS1	0	83	2	1	427	226
A1CF	0	0	1	0	0	1
A2M	14435	72483	74842	24809	56728	63225
A2M-AS1	0	117	103	0	104	173
A2ML1	4	0	0	0	1	0
A2MP1	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0
A4GALT	0	0	1	0	54	9
A4GNT	0	0	0	0	0	0
AA06	0	0	0	0	0	0
AAAS	500	2035	1450	699	1410	1378
AACS	135	1795	1294	768	1614	1904
AACSP1	0	0	0	0	1	0
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0
AADACL3	0	0	0	0	2	0
AADACL4	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0
AADAT	0	0	0	0	0	0
AAED1	4	678	1760	186	1415	1278
AAGAB	3003	6938	7246	3509	7303	7753
AAK1	2295	4694	4868	2136	7524	9074
AAMDC	188	699	568	1080	906	757
AAMP	1173	4545	4104	1963	4436	4320
AANAT	0	0	0	0	0	0
AAR2	489	1759	1860	357	1889	1772
AARD	8	0	29	0	5	66
AARS	6930	19613	20117	9472	22449	26557
AARS2	1556	1579	1622	1247	1369	1890
AARSD1	2233	3613	4188	2132	3586	4078
AASDH	1	286	1061	18	1111	469
AASDHPPT	884	3568	3793	851	5374	4259
AASS	997	138	163	0	132	191
AATBC	0	0	0	0	0	0
AATF	4645	14388	14241	6411	17352	21182
AATK	594	1135	612	134	1738	1478
ABALON	0	0	0	0	0	0
ABAT	107	378	260	1	323	951
ABCA1	267	1091	1545	682	3081	2835
ABCA10	0	0	0	0	0	0
ABCA11P	0	0	0	188	103	104
ABCA12	0	0	0	0	33	0
ABCA13	1	1	105	0	0	1
ABCA17P	0	0	0	0	0	0
ABCA2	215	426	380	88	970	716
ABCA3	0	331	161	165	229	464
ABCA4	0	0	0	0	0	0
ABCA5	156	561	1098	916	2725	2013
