symbol	Biffle	CAR_MplusCHLA_3	H9_MplusCHLA_1	H9_MplusCHLA_2	H9_MplusCHLA_3	CAR_MplusCHLA_1	CAR_MplusCHLA_2
A1BG	43	317	43	686	462	61	171
A1BG-AS1	0	226	0	83	2	1	427
A1CF	0	1	0	0	1	0	0
A2M	14435	63225	14435	72483	74842	24809	56728
A2M-AS1	0	173	0	117	103	0	104
A2ML1	4	0	4	0	0	0	1
A2MP1	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0
A4GALT	0	9	0	0	1	0	54
A4GNT	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0
AAAS	500	1378	500	2035	1450	699	1410
AACS	135	1904	135	1795	1294	768	1614
AACSP1	0	0	0	0	0	0	1
AADAC	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	2
AADACL4	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0
AAED1	4	1278	4	678	1760	186	1415
AAGAB	3003	7753	3003	6938	7246	3509	7303
AAK1	2295	9074	2295	4694	4868	2136	7524
AAMDC	188	757	188	699	568	1080	906
AAMP	1173	4320	1173	4545	4104	1963	4436
AANAT	0	0	0	0	0	0	0
AAR2	489	1772	489	1759	1860	357	1889
AARD	8	66	8	0	29	0	5
AARS	6930	26557	6930	19613	20117	9472	22449
AARS2	1556	1890	1556	1579	1622	1247	1369
AARSD1	2233	4078	2233	3613	4188	2132	3586
AASDH	1	469	1	286	1061	18	1111
AASDHPPT	884	4259	884	3568	3793	851	5374
AASS	997	191	997	138	163	0	132
AATBC	0	0	0	0	0	0	0
AATF	4645	21182	4645	14388	14241	6411	17352
AATK	594	1478	594	1135	612	134	1738
ABALON	0	0	0	0	0	0	0
ABAT	107	951	107	378	260	1	323
ABCA1	267	2835	267	1091	1545	682	3081
ABCA10	0	0	0	0	0	0	0
ABCA11P	0	104	0	0	0	188	103
ABCA12	0	0	0	0	0	0	33
ABCA13	1	1	1	1	105	0	0
ABCA17P	0	0	0	0	0	0	0
ABCA2	215	716	215	426	380	88	970
ABCA3	0	464	0	331	161	165	229
ABCA4	0	0	0	0	0	0	0
ABCA5	156	2013	156	561	1098	916	2725
ABCA6	0	0	0	0	0	0	104
ABCA7	159	1411	159	657	636	351	1524
ABCA8	0	0	0	176	0	0	0
ABCA9	0	24	0	25	34	49	0
ABCA9-AS1	0	0	0	0	0	0	0
ABCB1	0	81	0	71	163	0	112
ABCB10	0	1151	0	919	1118	0	699
ABCB11	447	237	447	89	90	0	7
ABCB4	496	671	496	1761	1594	186	1043
ABCB5	10	0	10	1	0	103	22
ABCB6	406	896	406	752	623	1177	700
ABCB7	1143	2254	1143	2966	3135	408	3094
ABCB8	341	902	341	1217	744	935	1474
ABCB9	13	214	13	64	51	0	46
ABCC1	113	7064	113	3452	2880	3670	7784
ABCC10	792	2153	792	2458	2132	754	2426
ABCC11	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0
ABCC13	1	0	1	0	0	0	0
ABCC2	0	44	0	3	0	0	27
ABCC3	14	699	14	394	126	319	738
ABCC4	201	5430	201	4027	5376	1658	6540
ABCC5	1804	8575	1804	5921	6726	3446	8445
ABCC5-AS1	0	0	0	0	0	0	0
ABCC6	0	76	0	1	0	0	56
ABCC6P1	0	0	0	0	0	0	1
ABCC6P2	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0
ABCC9	4	0	4	146	0	0	239
ABCD1	944	2309	944	1728	1432	1982	2134
ABCD2	0	0	0	0	0	0	0
ABCD3	200	1923	200	2248	1727	855	1944
ABCD4	1432	3070	1432	4097	3538	697	3561
ABCE1	2700	9768	2700	10158	11667	3975	11042
ABCF1	3049	12082	3049	6800	7027	2714	8297
ABCF2	729	3283	729	2347	3144	832	3127
ABCF3	1550	3496	1550	3243	3060	1287	3567
ABCG1	4	873	4	353	400	334	1165
ABCG2	121	1230	121	1907	3478	529	1080
ABCG4	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0
ABHD1	111	53	111	0	0	0	0
ABHD10	305	1934	305	960	1719	578	2237
ABHD11	437	645	437	566	695	5	540
ABHD11-AS1	0	0	0	0	0	0	0
ABHD12	4989	16743	4989	15498	17533	9140	17809
ABHD12B	0	2	0	0	71	0	0
ABHD13	123	1414	123	748	1576	251	1676
ABHD14A	194	240	194	241	168	561	213
ABHD14A-ACY1	0	0	0	181	0	0	0
ABHD14B	173	1008	173	1170	990	703	642
ABHD15	1744	1006	1744	2004	1296	273	1076
ABHD16A	2322	6264	2322	6601	8707	3224	5811
ABHD16B	0	88	0	214	326	165	48
ABHD17A	1969	2027	1969	3261	3084	1476	1728
ABHD17B	1	825	1	508	771	518	975
ABHD17C	5	478	5	201	310	149	182
ABHD18	778	521	778	455	883	312	1052
ABHD2	1222	3826	1222	3817	3968	1594	4022
ABHD3	112	1718	112	1501	1134	130	1525
ABHD4	412	797	412	469	514	305	613
ABHD5	370	1304	370	588	1090	298	1006
ABHD6	235	1149	235	922	1321	162	771
ABHD8	172	240	172	487	364	85	162
ABI1	805	7085	805	5007	7303	4199	8625
ABI2	961	3754	961	3194	2963	1073	2765
ABI3	3258	9250	3258	7173	6422	5194	8256
ABI3BP	0	1	0	0	0	0	0
ABL1	363	5570	363	3162	4250	2214	5454
ABL2	2241	2317	2241	1503	1663	1046	2423
ABLIM1	177	475	177	0	0	229	79
ABLIM2	13	68	13	0	0	17	0
ABLIM3	771	905	771	613	800	0	754
ABO	0	1	0	0	1	1	0
ABR	4393	18258	4393	14479	15213	7478	17796
ABRA	0	0	0	0	0	0	0
ABRACL	4725	30772	4725	29149	31857	8221	35891
ABRAXAS1	0	259	0	206	511	133	332
ABRAXAS2	395	2058	395	1364	1522	898	1980
ABT1	406	1517	406	1700	2293	1035	2856
ABTB1	245	909	245	330	473	357	701
ABTB2	0	0	0	0	0	0	0
