symbol	H9_MplusCHLA_1	H9_MplusCHLA_2	H9_MplusCHLA_3	CAR_MplusCHLA_1	CAR_MplusCHLA_2	CAR_MplusCHLA_3
A1BG	1	10	6	2	3	4
A1BG-AS1	0	1	0	0	5	3
A1CF	0	0	0	0	0	0
A2M	126	377	388	302	310	331
A2M-AS1	0	1	1	0	1	2
A2ML1	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0
A4GALT	0	0	0	0	1	1
A4GNT	0	0	0	0	0	0
AA06	0	0	0	0	0	0
AAAS	12	29	21	23	21	20
AACS	2	14	10	14	13	15
AACSP1	0	0	0	0	0	0
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0
AADAT	0	0	0	0	0	0
AAED1	0	14	36	9	31	26
AAGAB	40	53	55	65	60	60
AAK1	4	5	5	6	9	10
AAMDC	17	33	26	114	44	37
AAMP	27	62	55	62	63	59
AANAT	0	0	0	0	0	0
AAR2	8	17	18	8	19	18
AARD	0	0	0	0	0	1
AARS	84	143	146	162	172	195
AARS2	13	8	8	15	7	10
AARSD1	69	67	77	92	69	76
AASDH	0	2	8	0	9	4
AASDHPPT	13	31	32	17	48	37
AASS	7	1	1	0	1	1
AATBC	0	0	0	0	0	0
AATF	89	166	164	173	210	245
AATK	5	5	3	1	9	7
ABALON	0	0	0	0	0	0
ABAT	1	2	1	0	2	5
ABCA1	1	2	4	4	7	7
ABCA10	0	0	0	0	0	0
ABCA11P	0	0	0	6	1	1
ABCA12	0	0	0	0	0	0
ABCA13	0	0	0	0	0	0
ABCA17P	0	0	0	0	0	0
ABCA2	1	1	1	1	3	2
ABCA3	0	1	1	1	1	2
ABCA4	0	0	0	0	0	0
ABCA5	1	2	3	6	8	6
ABCA6	0	0	0	0	0	0
ABCA7	1	2	2	3	6	5
ABCA8	0	1	0	0	0	0
ABCA9	0	0	0	0	0	0
ABCA9-AS1	0	0	0	0	0	0
ABCB1	0	0	1	0	1	0
ABCB10	0	6	7	0	5	7
ABCB11	3	0	0	0	0	1
ABCB4	5	11	10	3	7	4
ABCB5	0	0	0	3	0	0
ABCB6	6	6	5	23	6	7
ABCB7	10	17	23	5	28	20
ABCB8	3	6	4	12	8	5
ABCB9	0	1	1	0	0	2
ABCC1	1	13	11	32	30	26
ABCC10	9	16	14	12	14	12
ABCC11	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0
ABCC2	0	0	0	0	0	0
ABCC3	0	2	2	6	4	3
ABCC4	1	18	22	16	29	23
ABCC5	16	26	31	33	40	38
ABCC5-AS1	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0
ABCC6P1	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0
ABCC9	0	0	0	0	1	0
ABCD1	10	12	9	31	15	15
ABCD2	0	0	0	0	0	0
ABCD3	2	15	12	13	14	13
ABCD4	20	33	29	14	31	24
ABCE1	26	59	67	54	67	57
ABCF1	37	48	49	46	61	85
ABCF2	6	18	21	10	22	24
ABCF3	25	31	29	29	36	34
ABCG1	0	3	3	7	10	7
ABCG2	1	11	20	7	6	7
ABCG4	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0
ABHD1	3	0	0	0	0	1
ABHD10	5	10	16	14	22	19
ABHD11	16	10	12	0	10	11
ABHD11-AS1	0	0	0	0	0	0
ABHD12	105	195	224	264	241	211
ABHD12B	0	0	1	0	0	0
ABHD13	1	3	7	3	8	6
ABHD14A	7	6	4	30	5	6
ABHD14A-ACY1	0	2	0	0	0	0
ABHD14B	4	14	11	20	8	12
ABHD15	21	15	9	5	8	7
ABHD16A	51	85	110	92	80	82
ABHD16B	0	3	5	5	1	1
ABHD17A	53	52	49	55	29	33
ABHD17B	0	4	6	9	8	6
ABHD17C	0	2	3	4	2	5
ABHD18	6	2	4	3	5	2
ABHD2	6	11	11	10	12	11
ABHD3	2	19	14	4	19	21
ABHD4	7	5	5	7	6	8
ABHD5	3	5	5	3	5	6
ABHD6	4	9	13	4	8	11
ABHD8	3	6	4	2	2	3
ABI1	10	36	52	75	66	51
ABI2	6	12	11	10	11	15
ABI3	64	84	76	143	102	109
ABI3BP	0	0	0	0	0	0
ABL1	3	14	18	22	25	24
ABL2	8	3	3	5	5	5
ABLIM1	1	0	0	2	0	2
ABLIM2	0	0	0	0	0	1
ABLIM3	9	4	5	0	5	5
ABO	0	0	0	0	0	0
ABR	48	82	92	108	105	99
ABRA	0	0	0	0	0	0
ABRACL	242	896	975	590	1157	950
ABRAXAS1	0	2	4	3	3	2
ABRAXAS2	5	11	12	17	17	17
ABT1	7	19	25	26	33	17
ABTB1	5	4	6	11	9	11
ABTB2	0	0	0	0	0	0
ACAA1	49	71	65	105	86	103
ACAA2	46	80	90	123	121	103
ACACA	4	2	3	2	5	5
ACACB	0	0	0	1	1	1
ACAD10	4	3	1	6	3	3
ACAD11	0	2	2	2	2	3
ACAD8	2	4	4	6	8	8
ACAD9	15	29	26	25	28	30
ACADL	0	0	0	0	0	0
ACADM	7	42	55	27	102	64
ACADS	5	1	7	0	8	10
ACADSB	0	5	4	0	4	4
ACADVL	86	107	108	196	130	148
ACAN	0	0	0	0	0	0
ACAP1	0	1	0	7	2	9
ACAP2	1	7	7	8	15	14
ACAP3	1	5	7	7	6	6
ACAT1	27	46	54	59	68	80
ACAT2	29	65	67	76	112	104
ACBD3	19	14	20	8	17	25
ACBD3-AS1	0	0	0	0	0	0
ACBD4	7	2	1	0	1	1
ACBD5	3	18	19	16	43	39
ACBD6	12	32	26	54	48	47
ACBD7	3	0	0	0	1	1
ACBD7-DCLRE1CP1	0	0	0	0	0	0
ACCS	0	1	2	5	2	1
ACCSL	0	0	0	0	0	0
ACD	3	4	3	6	5	12
ACE	4	3	6	7	3	7
ACE2	0	0	0	0	0	0
ACER1	0	0	0	0	0	0
ACER2	0	1	0	0	1	1
ACER3	35	38	38	30	36	30
ACHE	0	0	0	0	0	0
ACIN1	31	27	33	60	63	69
ACKR1	0	0	0	0	0	0
ACKR2	1	0	0	0	0	0
ACKR3	0	0	0	0	0	0
ACKR4	0	0	0	0	0	0
ACLY	20	36	47	60	57	58
ACMSD	0	0	0	0	0	0
ACO1	4	32	34	27	29	30
ACO2	62	90	84	117	68	93
ACOD1	0	0	0	0	0	0
