	baseMean	log2FoldChange	lfcSE	pvalue	padj
A2M	4.5136016439515	-0.773190258952915	1.35296145919232	0.0924503077990261	0.239568187734976
A4GALT	19.40143141708	-0.0497103003657231	0.540226343911352	0.877018906410035	0.940985234284523
AAAS	151.750268447644	-0.499274184457726	0.386508633383144	0.0950339043297115	0.24387458657239
AACS	2139.99641086723	-0.0585016875273574	0.187901124637929	0.732292919357577	0.861517559146084
AADAT	37.4701796291617	-0.656265359872316	0.580438626256069	0.0702527167435244	0.197532774713175
AAED1	130.189767624385	0.955403231777239	0.451999561113959	0.00472935372521818	0.0251352833560081
AAGAB	646.882490661027	-0.317904441084408	0.238737874461908	0.132015419408196	0.307530090515821
AAK1	78.6729806864348	0.0365863965167852	0.40670309394303	0.90318581443413	0.953559168884026
AAMDC	48.4646421710477	0.0919385234086173	0.503999773063574	0.774182290485139	0.888281411054286
AAMP	542.706412015451	-0.130835438429402	0.235976461949564	0.530358792511346	0.726484999320264
AAR2	133.402916285543	0.352681819701796	0.321004373454938	0.18245869563273	0.380825947202683
AARS	972.252157089664	-0.582729996106891	0.217198577049157	0.00341019414911117	0.0193922779538586
AARS2	117.05285366344	-0.737111461198885	0.385621344927047	0.0151761228443708	0.0632866316991196
AARSD1	265.13909242039	-0.248224306210634	0.299346081062816	0.323233798299822	0.545337436836443
AASDH	58.6904829220844	-0.261749307043288	0.460984749425823	0.411137366429094	0.62879061239666
AASDHPPT	155.165403386415	-0.0691836598551063	0.300403273236382	0.783556211069242	0.893903989267559
AASS	257.962276186532	-0.503759433888741	0.331334792537311	0.0640464030414612	0.184497920739668
AATF	588.792618110566	-0.0569368940682531	0.285645137550329	0.81462168987699	0.910712740093267
AATK	9.84943495966271	0.560671865854434	0.95942628018352	0.150751386766761	0.335269779164228
ABAT	43.6445763960139	-0.318081415022661	0.469288191458742	0.323381952931798	0.545418760572048
ABCA1	321.20282865935	0.138475923512742	0.361346446656801	0.625544065785467	0.795130732266706
ABCA2	34.3457813351421	-0.204417144211453	0.563554319915077	0.532351894283464	0.728313684200856
ABCA3	136.890356770553	-0.397058741460463	0.421839237430399	0.201448626430392	0.405688884162102
ABCA4	23.0781401937984	0.072934742153727	0.586791064858841	0.820060700523619	0.913462157693181
ABCA5	37.8303890605247	0.270480696381175	0.510434530316033	0.408574233904655	0.626268645129584
ABCA7	102.71600059821	0.528346572869524	0.452586316443946	0.103688002398133	0.259707397371507
ABCB1	28.726438629242	-0.457273924705199	0.693672958948121	0.199572349516833	0.403239779757564
ABCB10	297.180442779782	-0.0864522826931326	0.241539296703812	0.684522034508729	0.832900753592446
ABCB11	0.620681263018228	-0.101304883393427	1.12153759974604	0.742002499670022	NA
ABCB4	29.4671107104508	0.474700217161635	0.718146292204301	0.187573069789191	0.38749681675801
ABCB6	83.5401495181766	-0.663359357606189	0.433890830321216	0.0395645236378506	0.1306437460587
ABCB7	196.939911208104	-0.0452781440865311	0.334754871254229	0.867237790711744	0.936497042330545
ABCB8	31.5160310357085	-0.423587419700293	0.674446114748755	0.227838445601327	0.439457261947486
ABCB9	7.77495355828148	0.246361861139028	0.920699877573286	0.460345476999867	0.66993631171324
ABCC1	240.696135054597	-1.00502317835029	0.434509827691057	0.00248349292950661	0.0149874214667834
ABCC10	130.077714209316	-0.018181879033	0.379504963509007	0.950187879196909	0.978106791800101
ABCC2	0.980127192022631	-0.170168194545929	1.15213432860653	0.588741872947908	NA
ABCC3	15.3590885256544	0.270773486701299	0.757734062326596	0.416531896826157	0.633142260926648
ABCC5	186.728058810674	0.306330929508238	0.375052291576301	0.292629364392445	0.515559474101655
ABCC9	9.67470911526283	0.0557974677444296	0.757575763872161	0.858240820416355	0.932380176948584
ABCD1	50.3730281988706	0.499313079396964	0.504171080337529	0.138998162119078	0.318670423277
ABCD2	4.51248679571997	-0.358652778023591	1.00639786196945	0.312930835230545	0.535617209710747
ABCD3	289.739916528665	-0.39388067411222	0.333395055789346	0.147199717049416	0.329920911230712
ABCD4	219.431799185259	1.76626674049724	0.389578504478809	6.63305613198034e-08	1.41797590744133e-06
ABCE1	2056.08824022502	-0.0564063828854741	0.191279641259859	0.745559001708119	0.871515591890275
ABCF1	1360.64915424974	-0.201631338236113	0.267647075045915	0.382460489351496	0.603472149627108
ABCF2	271.356436554963	-0.466557140259497	0.29010565549085	0.0593934039710085	0.174671484654722
ABCF3	178.567479724828	0.235694620956564	0.33910025102173	0.388827845493941	0.609641043278262
ABCG1	188.646022185541	3.17745995069803	0.51055221206535	2.54082736609129e-11	9.27788916648614e-10
ABCG2	83.2455668960044	-1.11779691690681	0.448300070710726	0.00106081991490443	0.00744125602912243
ABHD10	83.8047670998943	0.0557751498981781	0.366841301708151	0.845328815315266	0.925808618573764
ABHD11	85.5037435738661	0.0447709460020344	0.407700866110442	0.881806570617502	0.943729162498995
ABHD12	335.892214076073	-0.235765835370502	0.261695071125128	0.298621201942682	0.522215051944739
ABHD13	196.814766514422	-0.479473787475452	0.326233345031622	0.0745567696583522	0.205724634651844
ABHD14A	12.9474798707684	-0.124226657098804	0.654284103083133	0.697457087678645	0.841734344470486
ABHD14B	8.21225654308992	-0.0650307068060915	0.730468345452853	0.835516447406649	0.921469921720158
ABHD15	5.51180151371403	0.00171024996821601	0.892035108603866	0.995629118260793	0.998057143563129
ABHD16A	104.639388642025	0.506622470757371	0.35596151803426	0.0753752017196198	0.207465664270168
ABHD17A	125.497153180346	0.377545661125321	0.384226003807568	0.202109165692365	0.406460891785857
ABHD17B	48.4918018639363	0.0516122466427886	0.593022688677887	0.871769101202554	0.938853909432947
ABHD17C	27.8613562019151	-0.775089074587792	0.721010263058966	0.0505573974367207	0.156221923737564
ABHD18	24.2712601197367	0.05343297498103	0.534014441129862	0.867884525760904	0.936773551813499
ABHD2	60.5123124723821	-0.877237277998679	0.756963307037033	0.0336468015897535	0.11496029598849
ABHD3	38.9162869496804	-0.181687235485791	0.541767697789442	0.57679261813781	0.762432506169485
ABHD4	187.755683394261	0.927132957438364	0.317990087855362	0.000599480489824343	0.00462859942796774
ABHD5	11.1445283757306	-0.49748872406305	0.83502727210546	0.17983244638353	0.377660041252994
ABHD6	23.7722764067645	0.436514994283754	0.682212494407439	0.216547842125149	0.425417670132287
ABHD8	42.5217111698897	0.164555754806854	0.499791764171012	0.60922122504274	0.78414472163919
ABI1	272.132032635349	0.394930616692264	0.320793489378608	0.135877147909273	0.313631401728014
ABI2	537.191093109468	-0.473701835676285	0.247055127480271	0.0306935947002576	0.107468665600537
ABI3	67.8120518335094	2.62049115339592	0.678452971467465	1.07784299716186e-06	1.82181413183561e-05
ABL1	469.733252586085	-0.53465517393319	0.310516973241578	0.0402964018607144	0.132452440843066
ABL2	272.12565238675	0.720127084411493	0.33682293769626	0.00968473769783524	0.0444084779518779
ABLIM1	255.525515392617	-1.89257786263012	0.332531730196339	1.00347473378231e-10	3.34964988281347e-09
ABLIM3	81.7610241660723	1.90195277239671	1.08703853452172	0.00157404785955002	0.0102935575251574
ABR	385.887489259081	-0.823248680934043	0.343344202848923	0.0036892623606657	0.0206286115751642
ABRACL	536.121338983287	2.03206097436709	0.378715555613932	5.26453672693976e-10	1.55206741578857e-08
ABT1	265.334195832508	-0.139916990060099	0.271667500262379	0.549268460843923	0.741445425610952
ABTB1	36.6036282976665	0.339206451467295	0.54323114764381	0.310949432873229	0.533973441244587
ABTB2	16.6301208553142	-0.330396634378326	0.629007840880854	0.329723577570027	0.551725181495694
ACAA1	169.875318917718	0.782298497705283	0.34379424056291	0.00573066641070448	0.02941439437405
ACAA2	295.869930001873	0.193968469043214	0.261220354710337	0.391736089875922	0.611999904989129
ACACA	1111.8705234905	-0.728501306843177	0.293059414962823	0.00394180346001056	0.0217615987640721
ACACB	10.3627721927492	0.0390727519342941	0.704042569942226	0.900678277239231	0.953218947671091
ACAD10	12.4767251266311	-0.0779309120777326	0.676791184356095	0.805042621928351	0.904926025602249
ACAD11	141.402272146834	0.130681846330789	0.359204113606249	0.643966415514552	0.807132352687605
ACAD8	12.9052366302827	-0.157953916099965	0.657960090202433	0.623659751360655	0.79382401511331
ACAD9	257.516890660309	-0.411568172964669	0.359934594689903	0.14936374341604	0.333317229180482
