gene_id	Comb5_DLL4_plus__CD144_plus__Cy0657_num_5_p2_Rep1	Comb5_DLL4_plus__CD144_plus__Cy0657_num_5_p2_Rep2	Comb5_DLL4_plus__CD144_plus__Cy0657_num_5_p2_Rep3	Comb5_DLL4__CD144__Cy0657__num_5_p2_Rep_1	Comb5_DLL4__CD144__Cy0657__num_5_p2_Rep_2	Comb5_DLL4__CD144__Cy0657__num_5_p2_Rep_3
A1BG	0	0	0	0	0	0
A1CF	0	0	0	0	0	0
A2M	0	2	0	17	3	10
A2ML1	0	1.9	4.29	0	0	0
A3GALT2	0	0	0	0	0	0
A4GALT	11	31	11	35	13	23
A4GNT	0	0	0	0	0	0
AAAS	73	75	187	189	155.01	294
AACS	1334	2495	2229.55	3202.96	1945	2342.36
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	6.33	22.09	38.5	80.02	59	43.03
AAED1	208	137	153	123	71	59
AAGAB	410	660	528.25	1147.62	655.86	711.13
AAK1	26.67	111.53	106.73	75.81	93.24	85.49
AAMDC	8	110	43	50	51	48
AAMP	447	501	478	788.38	488	677
AANAT	0	0	0	0	0	0
AAR2	120	127	200	144	107	124
AARD	0	0	0	0	0	4
AARS	437	890	887	1692	1131	1230
AARS2	59.91	52.52	110.36	181.89	158.96	184.11
AARSD1	160	327	180	402	276	327
AASDH	16	36	99	107	55	77
AASDHPPT	125	124	175.01	182	174	179
AASS	81	217.99	305	468	305	312
AATF	258	871	576	912	492	674
AATK	15	0	32	7	2	3
ABAT	17	24	63	62	56	60
ABCA1	124	249	711	506	233.99	290
ABCA10	0	1	0	0	0	0
ABCA12	0	1	0	0	0	0
ABCA13	0	0	0	9	0	0
ABCA15	0	0	0	0	0	0
ABCA2	15	3	67	57	32	52
ABCA3	25	114	194	221	156	194
ABCA4	35.99	2	26	32	12	29
ABCA5	38	29	64	50	40	11
ABCA6	0	0	0	0	0	0
ABCA7	118.01	71	190	122	85	38
ABCA8	0	0	0	0	0	0
ABCA9	0	0	3	0	0	0
ABCB1	19	0	23.98	41	35	63
ABCB10	210	293	316	462	271	322.56
ABCB11	0	0	1.01	0	1	1.83
ABCB4	18	43	72.02	0	17	31.91
ABCB5	0	0	1	6	0	0
ABCB6	26	77	61	111	115	146
ABCB7	218	135	159	289	184	213
ABCB8	0	11	50	63	41	49
ABCB9	17	0	13	0	11	0
ABCC1	65	75	275	435	327	408
ABCC10	41.66	118	242	175	134	136
ABCC11	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0
ABCC2	0	0	1	3	0	3
ABCC3	12	0	55	24	8	1
ABCC5	105	169	390	176	102	251.06
ABCC6	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0
ABCC9	0	0	37	10	8	11
ABCD1	20	87	99	33	32	49
ABCD2	2.11	1.78	0	0	11.07	12.04
ABCD3	154	135	408.05	444	329	392
ABCD4	239	485	272	119	82	101.9
ABCE1	1605	1669.95	2444.24	3019.18	1942.95	2207.99
ABCF1	609	1773.74	1281	2417.01	1101.04	1625
ABCF2	109.95	254.06	279.99	383.77	323.57	388.83
ABCF3	94	296.2	204.3	160	165.51	196
ABCG1	120.54	436	493.19	36	22	60.5
ABCG2	38	35	50.9	151	121	140
ABCG4	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0
ABHD10	62	95.72	90	148	62.98	72
ABHD11	35.6	156.23	68.82	124.27	77.95	82.06
ABHD12	177	329	379	399	426	407
ABHD12B	0	1	0	8	0	0
ABHD13	73	161	227.51	280.02	232	295.97
ABHD14A	0	21	13	24	17	11
ABHD14B	13	0	4	2	11	16
ABHD15	0	16	1	0	16	0
ABHD16A	97	114	163	89	87	88
ABHD16B	0	0	0	0	0	0
ABHD17A	157	105	148	87.59	119	121
ABHD17B	64.48	0	74	80	22.02	58
ABHD17C	13	14	8	110.41	22	24
ABHD18	28	13	28	13	37	23
ABHD2	0	39	45	140	89	96
ABHD3	43	4	38	73	32	52
ABHD4	205	219.4	309.07	169	104	130.33
ABHD5	0	3	13	26	23	10
ABHD6	52	3	30	23	15	8
ABHD8	66	38	17	44	38	41
ABI1	215	321	403	318	124	324
ABI2	238.98	441.13	609.05	859.47	651.99	657.12
ABI3	78	97	177	35	11	11
ABI3BP	0	0	0	0	6	6
ABL1	199	256	626	817	498	667
ABL2	226.24	263.36	568.51	308.56	171.06	164.83
ABLIM1	56	99	143	586	378	436
ABLIM2	0	0	0	0	9	0
ABLIM3	60	196	178	60	0	15
ABO	0	0	0	0	0	0
ABR	97	326	342	842	428	527
ABRA	0	0	0	0	0	0
ABRACL	726	1178	529	281	167	212
ABT1	228	212	249	354	267	331
