gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
A2M	1.14e+03	-0.07	0.12	-5.95e-01	5.52e-01	1.00e+00
AACS	2.47e+02	-0.20	0.10	-2.03e+00	4.19e-02	1.00e+00
AADAC	5.93e-01	-0.11	1.41	-7.73e-02	9.38e-01	1.00e+00
AAMDC	1.78e+02	-0.09	0.14	-6.30e-01	5.29e-01	1.00e+00
AAR2	1.45e+02	-0.02	0.15	-1.41e-01	8.88e-01	1.00e+00
AARS1	1.05e+03	-0.06	0.09	-6.20e-01	5.35e-01	1.00e+00
AARSD1	2.95e+02	-0.09	0.11	-7.85e-01	4.33e-01	1.00e+00
AASDH	6.34e+01	-0.10	0.16	-6.70e-01	5.03e-01	1.00e+00
AATF	1.24e+03	-0.06	0.13	-4.82e-01	6.30e-01	1.00e+00
ABCA2	4.74e+01	-0.15	0.18	-8.30e-01	4.07e-01	1.00e+00
ABCA7	3.08e+01	-0.27	0.26	-1.03e+00	3.03e-01	1.00e+00
ABCA9	8.68e+00	-0.35	0.44	-7.88e-01	4.30e-01	1.00e+00
ABCB4	1.44e+01	-0.16	0.30	-5.37e-01	5.91e-01	1.00e+00
ABCB5	1.62e+00	-1.45	1.17	-1.24e+00	2.16e-01	1.00e+00
ABCB7	2.36e+02	-0.05	0.09	-6.16e-01	5.38e-01	1.00e+00
ABCB9	5.99e+00	-0.41	0.48	-8.53e-01	3.93e-01	1.00e+00
ABCC2	1.29e+01	-0.32	0.31	-1.03e+00	3.03e-01	1.00e+00
ABCC5	3.06e+02	-0.06	0.12	-4.77e-01	6.33e-01	1.00e+00
ABCD1	6.61e+01	-0.11	0.19	-5.64e-01	5.73e-01	1.00e+00
ABCD4	3.79e+02	-0.06	0.10	-5.65e-01	5.72e-01	1.00e+00
ABCF1	1.50e+03	-0.06	0.11	-5.74e-01	5.66e-01	1.00e+00
ABCF2	2.17e+02	-0.03	0.11	-2.75e-01	7.83e-01	1.00e+00
ABCF2-H2BE1	2.46e+02	-0.18	0.14	-1.32e+00	1.88e-01	1.00e+00
ABCF3	3.73e+02	-0.02	0.09	-2.10e-01	8.34e-01	1.00e+00
ABCG2	1.37e+02	-0.05	0.17	-3.28e-01	7.43e-01	1.00e+00
ABCG4	1.12e+00	-1.39	1.14	-1.22e+00	2.23e-01	1.00e+00
ABCG8	2.51e+00	-0.52	0.84	-6.21e-01	5.35e-01	1.00e+00
ABHD12	2.07e+02	-0.04	0.13	-3.28e-01	7.43e-01	1.00e+00
ABHD14A	7.81e+00	-0.04	0.45	-8.40e-02	9.33e-01	1.00e+00
ABHD15	3.65e+01	-0.04	0.22	-1.68e-01	8.66e-01	1.00e+00
ABHD16A	2.43e+02	-0.04	0.10	-3.63e-01	7.16e-01	1.00e+00
ABHD17A	2.32e+02	-0.07	0.19	-3.44e-01	7.31e-01	1.00e+00
ABHD18	1.07e+02	-0.22	0.16	-1.35e+00	1.76e-01	1.00e+00
ABHD4	1.07e+02	-0.21	0.16	-1.33e+00	1.85e-01	1.00e+00
ABI3	9.31e+01	-0.01	0.18	-3.86e-02	9.69e-01	1.00e+00
ABITRAM	6.29e+01	-0.13	0.17	-7.96e-01	4.26e-01	1.00e+00
ABL1	6.16e+02	-0.02	0.10	-1.82e-01	8.56e-01	1.00e+00
ABLIM3	1.05e+02	-0.03	0.14	-2.34e-01	8.15e-01	1.00e+00
ABO	4.10e+01	-0.01	0.22	-5.98e-02	9.52e-01	1.00e+00
ABR	5.56e+02	-0.01	0.08	-6.09e-02	9.51e-01	1.00e+00
ABRAXAS2	1.94e+02	-0.09	0.12	-8.06e-01	4.20e-01	1.00e+00
ABT1	3.34e+02	-0.09	0.11	-8.24e-01	4.10e-01	1.00e+00
ACAA1	2.06e+02	-0.11	0.13	-8.50e-01	3.95e-01	1.00e+00
ACAA2	8.71e+02	-0.05	0.08	-6.75e-01	5.00e-01	1.00e+00
ACACA	8.10e+02	-0.03	0.10	-2.54e-01	7.99e-01	1.00e+00
ACADS	1.58e+01	-0.02	0.37	-5.34e-02	9.57e-01	1.00e+00
ACADSB	1.25e+02	-0.24	0.15	-1.53e+00	1.25e-01	1.00e+00
ACADVL	7.63e+02	-0.03	0.08	-3.90e-01	6.97e-01	1.00e+00
ACAP2	6.59e+02	-0.05	0.09	-5.43e-01	5.87e-01	1.00e+00
ACAP3	1.46e+02	-0.03	0.13	-1.95e-01	8.46e-01	1.00e+00
ACAT2	1.33e+03	-0.14	0.11	-1.28e+00	2.00e-01	1.00e+00
ACBD3	8.90e+02	-0.06	0.09	-5.98e-01	5.50e-01	1.00e+00
ACBD4	1.22e+01	-0.03	0.37	-9.33e-02	9.26e-01	1.00e+00
ACBD5	4.53e+02	-0.07	0.09	-8.38e-01	4.02e-01	1.00e+00
ACBD6	3.90e+02	-0.09	0.11	-8.03e-01	4.22e-01	1.00e+00
ACBD7	7.17e+00	-0.04	0.60	-5.87e-02	9.53e-01	1.00e+00
ACD	6.32e+01	-0.09	0.17	-5.26e-01	5.99e-01	1.00e+00
ACE	8.10e+01	-0.11	0.14	-7.99e-01	4.25e-01	1.00e+00
ACER1	1.25e+00	-0.95	1.08	-8.80e-01	3.79e-01	1.00e+00
ACHE	3.85e+01	-0.16	0.21	-7.41e-01	4.59e-01	1.00e+00
ACKR4	2.03e+00	-0.14	0.90	-1.53e-01	8.78e-01	1.00e+00
ACLY	2.57e+03	-0.11	0.08	-1.41e+00	1.59e-01	1.00e+00
ACO1	6.17e+02	-0.03	0.07	-4.86e-01	6.27e-01	1.00e+00
ACO2	3.79e+02	-0.04	0.12	-3.52e-01	7.25e-01	1.00e+00
ACOT1	5.99e+00	-2.04	0.71	-2.88e+00	3.92e-03	1.00e+00
ACOT2	2.83e+01	-0.28	0.24	-1.14e+00	2.55e-01	1.00e+00
ACOT7	1.37e+02	-0.07	0.11	-6.46e-01	5.18e-01	1.00e+00
ACOT8	5.11e+01	-0.21	0.19	-1.06e+00	2.88e-01	1.00e+00
ACOX2	6.41e-01	-0.01	3.03	-2.47e-03	9.98e-01	1.00e+00
ACOXL	1.42e+00	-0.44	1.08	-4.05e-01	6.86e-01	1.00e+00
ACP3	1.02e+00	-0.23	1.23	-1.87e-01	8.52e-01	1.00e+00
ACP6	4.61e+01	-0.12	0.20	-5.78e-01	5.64e-01	1.00e+00
ACRBP	1.18e+01	-0.05	0.38	-1.25e-01	9.00e-01	1.00e+00
ACRV1	1.70e+00	-0.21	0.92	-2.27e-01	8.20e-01	1.00e+00
ACSL5	1.84e+01	-0.24	0.30	-7.81e-01	4.35e-01	1.00e+00
ACSM1	9.35e-01	-0.27	1.28	-2.12e-01	8.32e-01	1.00e+00
ACSM3	3.79e+00	-0.01	0.67	-2.12e-02	9.83e-01	1.00e+00
ACSS2	2.24e+02	-0.08	0.16	-4.67e-01	6.41e-01	1.00e+00
ACSS3	1.22e+02	-0.08	0.14	-5.68e-01	5.70e-01	1.00e+00
ACTA2	6.66e+01	-0.22	0.21	-1.03e+00	3.03e-01	1.00e+00
ACTL10	8.48e-01	-1.55	1.51	-1.03e+00	3.02e-01	1.00e+00
ACTL6A	6.59e+02	-0.07	0.09	-7.88e-01	4.31e-01	1.00e+00
ACTN1	2.73e+03	-0.05	0.08	-6.34e-01	5.26e-01	1.00e+00
ACTN4	2.67e+03	-0.07	0.09	-7.49e-01	4.54e-01	1.00e+00
ACTR1A	8.60e+02	-0.02	0.09	-2.07e-01	8.36e-01	1.00e+00
ACTR1B	1.90e+02	-0.12	0.14	-8.57e-01	3.92e-01	1.00e+00
ACTR3B	6.22e+01	-0.18	0.17	-1.02e+00	3.07e-01	1.00e+00
ACTR8	4.58e+02	-0.13	0.09	-1.39e+00	1.65e-01	1.00e+00
ACVR1C	6.27e-01	-0.44	1.50	-2.95e-01	7.68e-01	1.00e+00
ACY1	1.91e+01	-0.18	0.29	-6.16e-01	5.38e-01	1.00e+00
ACYP2	1.97e+01	-0.23	0.29	-8.11e-01	4.17e-01	1.00e+00
ADA2	1.31e+02	-0.01	0.15	-8.70e-02	9.31e-01	1.00e+00
ADAM10	4.15e+03	-0.01	0.06	-2.51e-01	8.02e-01	1.00e+00
ADAM11	1.66e+00	-0.72	1.01	-7.17e-01	4.73e-01	1.00e+00
ADAM12	2.84e+02	-0.03	0.16	-1.76e-01	8.60e-01	1.00e+00
ADAM15	6.26e+02	-0.05	0.16	-3.41e-01	7.33e-01	1.00e+00
ADAM19	9.79e+02	-0.02	0.07	-3.35e-01	7.38e-01	1.00e+00
ADAM22	5.79e+01	-0.17	0.21	-8.02e-01	4.23e-01	1.00e+00
ADAM23	5.10e+02	-0.05	0.10	-4.69e-01	6.39e-01	1.00e+00
ADAM33	6.44e-01	-0.50	1.71	-2.93e-01	7.69e-01	1.00e+00
ADAMTS10	3.84e+01	-0.23	0.26	-8.86e-01	3.75e-01	1.00e+00
ADAMTS12	1.01e+03	-0.02	0.09	-1.96e-01	8.45e-01	1.00e+00
ADAMTS13	5.68e+00	-0.20	0.53	-3.84e-01	7.01e-01	1.00e+00
ADAMTS17	5.13e+00	-0.32	0.52	-6.15e-01	5.38e-01	1.00e+00
ADAMTS18	5.28e+00	-0.73	0.52	-1.41e+00	1.59e-01	1.00e+00
ADAMTS20	6.76e-01	-0.54	1.57	-3.47e-01	7.29e-01	1.00e+00
ADAMTS7	2.22e+02	-0.03	0.10	-2.78e-01	7.81e-01	1.00e+00
ADAMTS9	1.18e+04	-0.02	0.10	-2.54e-01	7.99e-01	1.00e+00
ADAMTSL1	4.68e+00	-0.43	0.68	-6.29e-01	5.29e-01	1.00e+00
ADAP1	1.81e+01	-0.32	0.33	-9.74e-01	3.30e-01	1.00e+00
ADARB1	1.44e+02	-0.01	0.15	-1.01e-01	9.19e-01	1.00e+00
