gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
A1BG	3.40e+01	0.02	0.22	8.91e-02	9.29e-01	1.00e+00
A2ML1	6.68e-01	0.37	1.61	2.33e-01	8.16e-01	1.00e+00
A4GALT	9.66e+00	0.52	0.43	1.20e+00	2.29e-01	1.00e+00
AAAS	1.45e+02	0.05	0.13	3.72e-01	7.10e-01	1.00e+00
AADAT	5.85e+01	0.02	0.17	9.16e-02	9.27e-01	1.00e+00
AAGAB	9.51e+02	0.05	0.09	5.42e-01	5.88e-01	1.00e+00
AAK1	1.07e+03	0.02	0.10	1.54e-01	8.77e-01	1.00e+00
AARD	5.59e+00	0.19	0.46	4.01e-01	6.89e-01	1.00e+00
AASDHPPT	4.23e+02	0.15	0.12	1.20e+00	2.29e-01	1.00e+00
AASS	1.93e+02	0.10	0.16	6.24e-01	5.33e-01	1.00e+00
AATK	3.31e+01	0.03	0.21	1.39e-01	8.89e-01	1.00e+00
ABAT	1.16e+01	0.42	0.37	1.14e+00	2.52e-01	1.00e+00
ABCA1	3.56e+02	0.01	0.14	9.34e-02	9.26e-01	1.00e+00
ABCA10	2.59e+01	0.07	0.22	3.37e-01	7.36e-01	1.00e+00
ABCA3	1.86e+02	0.10	0.12	8.18e-01	4.13e-01	1.00e+00
ABCA4	6.48e+01	0.27	0.15	1.83e+00	6.79e-02	1.00e+00
ABCA5	1.59e+02	0.21	0.10	1.99e+00	4.67e-02	1.00e+00
ABCA6	3.68e+00	0.86	0.62	1.38e+00	1.69e-01	1.00e+00
ABCA8	4.34e-01	0.52	1.99	2.60e-01	7.95e-01	1.00e+00
ABCB1	3.13e+00	0.10	0.75	1.38e-01	8.90e-01	1.00e+00
ABCB10	3.22e+02	0.09	0.09	9.84e-01	3.25e-01	1.00e+00
ABCB11	3.98e-01	0.79	1.71	4.59e-01	6.46e-01	1.00e+00
ABCB6	6.69e+01	0.05	0.16	2.95e-01	7.68e-01	1.00e+00
ABCB8	4.31e+01	0.27	0.25	1.04e+00	2.96e-01	1.00e+00
ABCC1	3.33e+02	0.05	0.09	5.83e-01	5.60e-01	1.00e+00
ABCC11	1.03e+00	0.34	1.21	2.77e-01	7.82e-01	1.00e+00
ABCC4	1.71e+02	0.18	0.19	9.20e-01	3.57e-01	1.00e+00
ABCC6	3.27e+00	0.01	1.39	1.03e-02	9.92e-01	1.00e+00
ABCC9	2.69e+01	0.52	0.29	1.80e+00	7.20e-02	1.00e+00
ABCD3	3.57e+02	0.10	0.09	1.15e+00	2.50e-01	1.00e+00
ABCE1	1.64e+03	0.02	0.07	3.28e-01	7.43e-01	1.00e+00
ABCG1	5.18e+01	0.11	0.22	5.10e-01	6.10e-01	1.00e+00
ABHD1	5.32e-01	2.66	2.01	1.33e+00	1.85e-01	1.00e+00
ABHD10	2.64e+02	0.11	0.11	1.01e+00	3.10e-01	1.00e+00
ABHD11	1.37e+01	0.09	0.34	2.76e-01	7.82e-01	1.00e+00
ABHD13	3.10e+02	0.02	0.10	1.57e-01	8.75e-01	1.00e+00
ABHD14A-ACY1	4.31e+00	2.59	2.56	1.01e+00	3.11e-01	1.00e+00
ABHD14B	4.36e+01	0.16	0.20	8.16e-01	4.15e-01	1.00e+00
ABHD16B	4.46e+00	0.10	0.61	1.59e-01	8.74e-01	1.00e+00
ABHD17B	1.44e+02	0.07	0.11	6.33e-01	5.27e-01	1.00e+00
ABHD17C	1.47e+02	0.11	0.17	6.39e-01	5.23e-01	1.00e+00
ABHD2	3.83e+02	0.03	0.10	3.54e-01	7.24e-01	1.00e+00
ABHD3	2.61e+01	0.04	0.28	1.50e-01	8.81e-01	1.00e+00
ABHD5	1.18e+02	0.04	0.12	3.30e-01	7.42e-01	1.00e+00
ABHD6	1.07e+02	0.06	0.14	4.42e-01	6.58e-01	1.00e+00
ABHD8	9.85e+00	0.08	0.42	1.92e-01	8.47e-01	1.00e+00
ABI2	1.18e+03	0.07	0.09	8.04e-01	4.21e-01	1.00e+00
ABI3BP	6.29e-01	0.78	1.47	5.28e-01	5.97e-01	1.00e+00
ABL2	1.53e+03	0.08	0.10	8.06e-01	4.20e-01	1.00e+00
ABLIM1	1.25e+03	0.08	0.11	6.99e-01	4.84e-01	1.00e+00
ABLIM2	3.70e+00	1.14	0.71	1.61e+00	1.08e-01	1.00e+00
ABRACL	3.12e+03	0.11	0.11	1.04e+00	3.00e-01	1.00e+00
ABRAXAS1	1.12e+02	0.13	0.13	9.78e-01	3.28e-01	1.00e+00
ABTB1	8.46e+00	0.21	0.37	5.71e-01	5.68e-01	1.00e+00
ABTB2	2.42e+02	0.10	0.25	3.88e-01	6.98e-01	1.00e+00
ACACB	1.43e+01	0.07	0.31	2.12e-01	8.32e-01	1.00e+00
ACAD10	4.63e+01	0.01	0.16	8.71e-02	9.31e-01	1.00e+00
ACAD11	6.69e+01	0.20	0.16	1.27e+00	2.05e-01	1.00e+00
ACAD8	1.12e+02	0.01	0.15	4.85e-02	9.61e-01	1.00e+00
ACAD9	1.93e+02	0.05	0.10	5.05e-01	6.13e-01	1.00e+00
ACADM	6.58e+02	0.01	0.08	8.06e-02	9.36e-01	1.00e+00
ACAN	1.46e+00	0.35	1.06	3.35e-01	7.38e-01	1.00e+00
ACAP1	1.02e+00	0.54	1.37	3.97e-01	6.91e-01	1.00e+00
ACAT1	3.52e+02	0.01	0.09	1.39e-01	8.90e-01	1.00e+00
ACCS	9.45e+00	0.59	0.43	1.38e+00	1.67e-01	1.00e+00
ACE2	4.31e+00	0.26	0.53	4.91e-01	6.23e-01	1.00e+00
ACER2	2.43e+02	0.03	0.16	2.14e-01	8.30e-01	1.00e+00
ACER3	2.85e+02	0.09	0.12	7.74e-01	4.39e-01	1.00e+00
ACIN1	1.39e+03	0.02	0.13	1.55e-01	8.76e-01	1.00e+00
ACKR1	4.40e+00	0.55	0.80	6.89e-01	4.91e-01	1.00e+00
ACKR2	2.55e+00	0.40	0.82	4.90e-01	6.24e-01	1.00e+00
ACKR3	1.34e+02	0.16	0.18	8.86e-01	3.76e-01	1.00e+00
ACOT11	1.42e+02	0.01	0.14	1.07e-01	9.15e-01	1.00e+00
ACOT13	1.56e+02	0.01	0.11	6.47e-02	9.48e-01	1.00e+00
ACOT9	5.61e+02	0.02	0.07	3.15e-01	7.53e-01	1.00e+00
ACOX1	2.21e+02	0.13	0.11	1.20e+00	2.28e-01	1.00e+00
ACOX3	9.63e+01	0.04	0.13	3.07e-01	7.59e-01	1.00e+00
ACP1	3.65e+02	0.06	0.10	6.09e-01	5.43e-01	1.00e+00
ACP2	1.13e+02	0.04	0.17	2.57e-01	7.97e-01	1.00e+00
ACP5	1.86e+01	0.29	0.35	8.14e-01	4.15e-01	1.00e+00
ACP7	1.77e+00	0.41	1.01	4.11e-01	6.81e-01	1.00e+00
ACR	2.21e+00	0.25	0.80	3.17e-01	7.51e-01	1.00e+00
ACSBG1	2.09e+00	0.21	1.04	1.99e-01	8.42e-01	1.00e+00
ACSBG2	5.76e-01	1.85	1.83	1.01e+00	3.13e-01	1.00e+00
ACSF2	1.12e+01	0.18	0.38	4.77e-01	6.33e-01	1.00e+00
ACSF3	8.77e+01	0.06	0.18	2.98e-01	7.65e-01	1.00e+00
ACSL3	2.32e+03	0.02	0.05	3.45e-01	7.30e-01	1.00e+00
ACSL4	1.01e+03	0.10	0.12	8.47e-01	3.97e-01	1.00e+00
ACSL6	7.54e-01	0.68	1.52	4.48e-01	6.54e-01	1.00e+00
ACSM2A	8.90e-01	0.11	1.38	7.77e-02	9.38e-01	1.00e+00
ACSM2B	7.97e-01	2.54	1.56	1.63e+00	1.04e-01	1.00e+00
ACSM4	8.40e-01	1.47	1.51	9.69e-01	3.33e-01	1.00e+00
ACSS1	9.45e+00	0.51	0.40	1.27e+00	2.06e-01	1.00e+00
ACTA1	2.78e+00	0.45	1.00	4.46e-01	6.55e-01	1.00e+00
ACTB	2.93e+04	0.15	0.12	1.25e+00	2.12e-01	1.00e+00
ACTC1	4.87e+00	0.12	0.69	1.71e-01	8.64e-01	1.00e+00
ACTG1	2.89e+04	0.05	0.08	6.53e-01	5.14e-01	1.00e+00
ACTR10	6.37e+02	0.07	0.10	7.37e-01	4.61e-01	1.00e+00
ACTR2	1.16e+04	0.07	0.09	7.67e-01	4.43e-01	1.00e+00
ACTR3	4.99e+03	0.11	0.09	1.12e+00	2.63e-01	1.00e+00
ACTR3C	2.72e+00	1.19	0.80	1.48e+00	1.39e-01	1.00e+00
ACTR5	5.09e+01	0.13	0.17	7.88e-01	4.31e-01	1.00e+00
ACTR6	1.33e+02	0.11	0.12	9.55e-01	3.40e-01	1.00e+00
ACTRT3	4.71e+01	0.16	0.19	8.48e-01	3.96e-01	1.00e+00
ACVR1	2.27e+02	0.08	0.10	7.52e-01	4.52e-01	1.00e+00
ACVR1B	2.00e+02	0.09	0.12	7.76e-01	4.38e-01	1.00e+00
ACVR2A	1.11e+02	0.14	0.14	1.02e+00	3.08e-01	1.00e+00
ACVR2B	5.67e+02	0.02	0.11	2.09e-01	8.35e-01	1.00e+00
ACVRL1	9.13e+02	0.09	0.08	1.08e+00	2.78e-01	1.00e+00
ADA	1.62e+02	0.03	0.13	1.94e-01	8.46e-01	1.00e+00
ADAL	4.56e+01	0.17	0.23	7.57e-01	4.49e-01	1.00e+00
ADAM17	9.71e+02	0.06	0.07	8.59e-01	3.90e-01	1.00e+00
ADAM28	3.42e+00	0.32	0.65	4.97e-01	6.19e-01	1.00e+00
ADAM32	3.66e+00	0.47	0.72	6.49e-01	5.16e-01	1.00e+00
ADAM8	1.10e+00	1.08	1.18	9.11e-01	3.63e-01	1.00e+00
ADAM9	8.67e+02	0.03	0.09	2.81e-01	7.79e-01	1.00e+00
