gene_id	baseMn	l2fc	lfcSE	stat	pval	padj		ecdf	rownum	pvalcorrRaw
MCTP1	2.13E+01	1.11	0.29	3.85E+00	1.16E-21	0.00E+00		0.00456621	1	2.54E-19
TMEM213	3.95E+00	1.96	0.56	3.47E+00	5.26E-04	1.00E+00		0.00913242	2	5.76E-02
SFR1	3.31E+01	0.65	0.2	3.28E+00	1.05E-03	1.00E+00		0.01369863	3	7.67E-02
CYP2C9	1.51E+00	3.22	1.01	3.18E+00	1.48E-03	1.00E+00		0.01826484	4	8.10E-02
EFNA2	1.99E+01	0.9	0.29	3.07E+00	2.14E-03	1.00E+00		0.02283105	5	9.37E-02
WAS	2.42E+00	2.92	0.95	3.07E+00	2.17E-03	1.00E+00		0.02739726	6	7.92E-02
CRX	1.12E+01	1.01	0.34	3.01E+00	2.58E-03	1.00E+00		0.03196347	7	8.07E-02
ZBTB44	2.24E+02	0.34	0.11	3.00E+00	2.69E-03	1.00E+00		0.03652968	8	7.36E-02
PTGS2	3.82E+01	0.56	0.19	2.99E+00	2.80E-03	1.00E+00		0.04109589	9	6.81E-02
TMTC1	6.77E+01	0.49	0.17	2.95E+00	3.16E-03	1.00E+00		0.0456621	10	6.92E-02
CYP4V2	2.73E+01	0.69	0.24	2.91E+00	3.58E-03	1.00E+00		0.050228311	11	7.13E-02
KIAA0319	1.49E+00	3.84	1.34	2.87E+00	4.04E-03	1.00E+00		0.054794521	12	7.37E-02
AFF3	6.52E+00	1.29	0.45	2.87E+00	4.04E-03	1.00E+00		0.059360731	13	6.81E-02
GLRA2	2.30E+00	2.17	0.76	2.85E+00	4.39E-03	1.00E+00		0.063926941	14	6.87E-02
SMIM38	3.07E+00	2.18	0.77	2.84E+00	4.54E-03	1.00E+00		0.068493151	15	6.63E-02
TBXA2R	9.48E+01	0.4	0.14	2.83E+00	4.60E-03	1.00E+00		0.073059361	16	6.30E-02
PCDHB1	3.49E+00	1.88	0.67	2.82E+00	4.83E-03	1.00E+00		0.077625571	17	6.22E-02
NPIPA8	3.38E+01	0.76	0.27	2.80E+00	5.05E-03	1.00E+00		0.082191781	18	6.14E-02
CCZ1	2.59E+02	0.39	0.14	2.77E+00	5.62E-03	1.00E+00		0.086757991	19	6.48E-02
IGFL4	2.72E+02	0.39	0.14	2.71E+00	6.66E-03	1.00E+00		0.091324201	20	7.29E-02
TTC39B	4.71E+01	0.61	0.23	2.70E+00	6.89E-03	1.00E+00		0.095890411	21	7.19E-02
LTB4R	1.22E+01	0.87	0.32	2.69E+00	7.22E-03	1.00E+00		0.100456621	22	7.19E-02
ZNF76	8.75E+01	0.36	0.13	2.68E+00	7.37E-03	1.00E+00		0.105022831	23	7.02E-02
NPIPB9	8.79E+00	1.18	0.44	2.67E+00	7.56E-03	1.00E+00		0.109589041	24	6.90E-02
ITGBL1	2.11E+00	2.24	0.84	2.67E+00	7.58E-03	1.00E+00		0.114155251	25	6.64E-02
TMEM121B	1.83E+02	0.29	0.11	2.64E+00	8.28E-03	1.00E+00		0.118721461	26	6.97E-02
SPSB1	2.58E+01	0.67	0.25	2.64E+00	8.39E-03	1.00E+00		0.123287671	27	6.81E-02
DMAC2L	3.35E+01	0.58	0.22	2.62E+00	8.79E-03	1.00E+00		0.127853881	28	6.88E-02
MPPED2	6.86E+01	0.47	0.18	2.62E+00	8.92E-03	1.00E+00		0.132420091	29	6.74E-02
TNFAIP2	9.10E+01	0.39	0.15	2.59E+00	9.64E-03	1.00E+00		0.136986301	30	7.04E-02
IPMK	2.56E+02	0.23	0.09	2.57E+00	1.00E-02	1.00E+00		0.141552511	31	7.06E-02
LMX1B	1.46E+00	2.8	1.09	2.57E+00	1.02E-02	1.00E+00		0.146118721	32	6.98E-02
ICOSLG	8.12E+01	0.48	0.19	2.57E+00	1.02E-02	1.00E+00		0.150684932	33	6.77E-02
SLC35D1	1.07E+02	0.34	0.13	2.56E+00	1.04E-02	1.00E+00		0.155251142	34	6.70E-02
PABIR1	1.10E+02	0.32	0.13	2.56E+00	1.05E-02	1.00E+00		0.159817352	35	6.57E-02
SIKE1	3.60E+02	0.24	0.09	2.54E+00	1.11E-02	1.00E+00		0.164383562	36	6.75E-02
FOXA1	4.90E+01	0.49	0.19	2.53E+00	1.12E-02	1.00E+00		0.168949772	37	6.63E-02
IL12RB1	3.49E+00	2.03	0.81	2.52E+00	1.17E-02	1.00E+00		0.173515982	38	6.74E-02
C1orf53	1.16E+00	2.71	1.08	2.52E+00	1.18E-02	1.00E+00		0.178082192	39	6.63E-02
ASB11	1.86E+00	2.58	1.03	2.52E+00	1.18E-02	1.00E+00		0.182648402	40	6.46E-02
PCDHB3	3.92E+01	0.55	0.22	2.52E+00	1.18E-02	1.00E+00		0.187214612	41	6.30E-02
SYDE1	5.79E+01	0.5	0.2	2.52E+00	1.18E-02	1.00E+00		0.191780822	42	6.15E-02
ZNF850	1.24E+02	0.32	0.13	2.51E+00	1.19E-02	1.00E+00		0.196347032	43	6.06E-02
FUT9	2.97E+00	1.98	0.79	2.51E+00	1.22E-02	1.00E+00		0.200913242	44	6.07E-02
MR1	8.59E+00	1.51	0.6	2.51E+00	1.22E-02	1.00E+00		0.205479452	45	5.94E-02
SPN	1.12E+01	0.79	0.32	2.50E+00	1.26E-02	1.00E+00		0.210045662	46	6.00E-02
DSC3	1.33E+01	0.75	0.3	2.49E+00	1.26E-02	1.00E+00		0.214611872	47	5.87E-02
UBE2C	5.51E+01	0.53	0.22	2.49E+00	1.29E-02	1.00E+00		0.219178082	48	5.89E-02
SLC16A6	1.57E+01	0.77	0.31	2.48E+00	1.30E-02	1.00E+00		0.223744292	49	5.81E-02
PLA2G2D	1.42E+00	3.09	1.25	2.48E+00	1.31E-02	1.00E+00		0.228310502	50	5.74E-02
ZNF557	6.83E+01	0.39	0.16	2.48E+00	1.31E-02	1.00E+00		0.232876712	51	5.63E-02
CD302	5.38E+01	0.47	0.19	2.48E+00	1.33E-02	1.00E+00		0.237442922	52	5.60E-02
DPY19L2	4.11E+01	0.64	0.26	2.46E+00	1.39E-02	1.00E+00		0.242009132	53	5.74E-02
VIT	6.37E+00	1.36	0.55	2.45E+00	1.41E-02	1.00E+00		0.246575342	54	5.72E-02
AP5B1	1.08E+02	0.33	0.13	2.44E+00	1.48E-02	1.00E+00		0.251141553	55	5.89E-02
PPP1R3E	1.93E+01	0.6	0.25	2.43E+00	1.52E-02	1.00E+00		0.255707763	56	5.94E-02
ADAMTS2	3.43E+00	1.44	0.59	2.42E+00	1.55E-02	1.00E+00		0.260273973	57	5.96E-02
