baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	34.0106542760402	0.0198529237750721	0.22290526474978	0.0890644005082508	0.929030729201135	0.999890251873749
A2M	1135.79987524629	-0.0696951241549129	0.117114702411236	-0.595101406740428	0.551775688383625	0.999890251873749
A2ML1	0.668113997957788	0.374624826254367	1.60585351095242	0.233287048724749	0.81553851481197	0.999890251873749
A4GALT	9.65802758783414	0.518401326340004	0.431073380738825	1.20258255207386	0.22913790291968	0.999890251873749
AAAS	145.181383831299	0.0471901779931471	0.126708893524667	0.372429879864434	0.709572810483986	0.999890251873749
AACS	247.025924571986	-0.202545018474768	0.0995424958554544	-2.03475929284396	0.0418750988763826	0.999890251873749
AADAC	0.593119924316754	-0.108677172393883	1.40589430206994	-0.0773010974110034	0.938384017913616	0.999890251873749
AADAT	58.523285981251	0.0156741602945769	0.171102658462675	0.0916067607330374	0.927010479751715	0.999890251873749
AAGAB	950.643883013983	0.0491815836014316	0.0907665009126976	0.541847301668444	0.587923702623196	0.999890251873749
AAK1	1070.68267337309	0.0159820374249708	0.103679557159234	0.154148395912081	0.877492729844196	0.999890251873749
AAMDC	178.126492390074	-0.08701171730216	0.138198821418858	-0.629612585757453	0.528948087109109	0.999890251873749
AAMP	443.270200306322	-0.00488321448192872	0.0745460569540125	-0.0655060063732302	0.947771124215259	0.999890251873749
AAR2	145.012768104948	-0.0215738191887395	0.15311289945401	-0.140901382350346	0.887947850085995	0.999890251873749
AARD	5.59073482549343	0.186168311012784	0.464719322559523	0.400603766564794	0.688711872105792	0.999890251873749
AARS1	1046.16709517031	-0.0563484782277553	0.0908953181909602	-0.619927179410648	0.535305730760275	0.999890251873749
AARS2	168.191385213893	0.00043730257554076	0.129160162340221	0.0033857388192875	0.997298576430353	0.999890251873749
AARSD1	295.284396535309	-0.0851202316924034	0.108464834559594	-0.784772613520519	0.432586899828952	0.999890251873749
AASDH	63.3527177496203	-0.10490469618668	0.156593823322828	-0.669915926188302	0.502911386592394	0.999890251873749
AASDHPPT	423.192002497778	0.146984510647171	0.122288057035883	1.20195311144768	0.22938169511773	0.999890251873749
AASS	192.824215191603	0.0980838684424043	0.157293519792856	0.623572214364417	0.532908563049624	0.999890251873749
AATF	1238.26681062375	-0.0614252074111584	0.127556883036281	-0.481551492550092	0.630124592024353	0.999890251873749
AATK	33.0876656838581	0.028726583118739	0.206452010349253	0.139144119110986	0.889336265291873	0.999890251873749
ABAT	11.6174484675559	0.418850927386836	0.366019419537201	1.14434072355078	0.252482360750168	0.999890251873749
ABCA1	356.201589484476	0.0127420536701657	0.136466848522107	0.0933710553746793	0.925608784506175	0.999890251873749
ABCA10	25.8885852681831	0.0732412931169264	0.217344933124742	0.336981829131902	0.736130598062402	0.999890251873749
ABCA2	47.4299896392812	-0.152100567035559	0.183323792779148	-0.829682632732762	0.40671824323871	0.999890251873749
ABCA3	186.373625363739	0.099789903870146	0.122006790671958	0.817904506138953	0.41341171709283	0.999890251873749
ABCA4	64.7671075621874	0.274606764044456	0.150397193738782	1.82587691444169	0.067868804292804	0.999890251873749
ABCA5	158.947136967783	0.208242382193223	0.104676088235057	1.98939782432069	0.0466573096084035	0.999890251873749
ABCA6	3.67602103954791	0.857607092822774	0.623700372899736	1.37503059174961	0.169121960709318	0.999890251873749
ABCA7	30.7548093401761	-0.270134827745785	0.262252992935349	-1.03005431786389	0.302984507989406	0.999890251873749
ABCA8	0.434430653848778	0.516397545266726	1.9887656571813	0.259657312264041	0.795128123288923	0.999890251873749
ABCA9	8.67881599494779	-0.346513199245044	0.439464761065486	-0.788489157594615	0.430410638153457	0.999890251873749
ABCB1	3.12939874963345	0.104381971604224	0.754056651507229	0.138427227444492	0.889902779766563	0.999890251873749
ABCB10	321.878626136777	0.0852785083008434	0.0866445867634242	0.984233539409556	0.325000698539776	0.999890251873749
ABCB11	0.397998046931127	0.785871317607086	1.71259789977683	0.458876726235326	0.646322692764311	0.999890251873749
