gene_id	baseMn	l2fc	lfcSE	stat	pval	padj
A1BG	3.40e+01	0.02	0.22	8.91e-02	9.29e-01	1.00e+00
A2M	1.14e+03	-0.07	0.12	-5.95e-01	5.52e-01	1.00e+00
A2ML1	6.68e-01	0.37	1.61	2.33e-01	8.16e-01	1.00e+00
A4GALT	9.66e+00	0.52	0.43	1.20e+00	2.29e-01	1.00e+00
AAAS	1.45e+02	0.05	0.13	3.72e-01	7.10e-01	1.00e+00
AACS	2.47e+02	-0.20	0.10	-2.03e+00	4.19e-02	1.00e+00
AADAC	5.93e-01	-0.11	1.41	-7.73e-02	9.38e-01	1.00e+00
AADAT	5.85e+01	0.02	0.17	9.16e-02	9.27e-01	1.00e+00
AAGAB	9.51e+02	0.05	0.09	5.42e-01	5.88e-01	1.00e+00
AAK1	1.07e+03	0.02	0.10	1.54e-01	8.77e-01	1.00e+00
AAMDC	1.78e+02	-0.09	0.14	-6.30e-01	5.29e-01	1.00e+00
AAMP	4.43e+02	-0.00	0.07	-6.55e-02	9.48e-01	1.00e+00
AAR2	1.45e+02	-0.02	0.15	-1.41e-01	8.88e-01	1.00e+00
AARD	5.59e+00	0.19	0.46	4.01e-01	6.89e-01	1.00e+00
AARS1	1.05e+03	-0.06	0.09	-6.20e-01	5.35e-01	1.00e+00
AARS2	1.68e+02	0.00	0.13	3.39e-03	9.97e-01	1.00e+00
AARSD1	2.95e+02	-0.09	0.11	-7.85e-01	4.33e-01	1.00e+00
AASDH	6.34e+01	-0.10	0.16	-6.70e-01	5.03e-01	1.00e+00
AASDHPPT	4.23e+02	0.15	0.12	1.20e+00	2.29e-01	1.00e+00
AASS	1.93e+02	0.10	0.16	6.24e-01	5.33e-01	1.00e+00
AATF	1.24e+03	-0.06	0.13	-4.82e-01	6.30e-01	1.00e+00
AATK	3.31e+01	0.03	0.21	1.39e-01	8.89e-01	1.00e+00
ABAT	1.16e+01	0.42	0.37	1.14e+00	2.52e-01	1.00e+00
ABCA1	3.56e+02	0.01	0.14	9.34e-02	9.26e-01	1.00e+00
ABCA10	2.59e+01	0.07	0.22	3.37e-01	7.36e-01	1.00e+00
ABCA2	4.74e+01	-0.15	0.18	-8.30e-01	4.07e-01	1.00e+00
ABCA3	1.86e+02	0.10	0.12	8.18e-01	4.13e-01	1.00e+00
ABCA4	6.48e+01	0.27	0.15	1.83e+00	6.79e-02	1.00e+00
ABCA5	1.59e+02	0.21	0.10	1.99e+00	4.67e-02	1.00e+00
ABCA6	3.68e+00	0.86	0.62	1.38e+00	1.69e-01	1.00e+00
ABCA7	3.08e+01	-0.27	0.26	-1.03e+00	3.03e-01	1.00e+00
ABCA8	4.34e-01	0.52	1.99	2.60e-01	7.95e-01	1.00e+00
ABCA9	8.68e+00	-0.35	0.44	-7.88e-01	4.30e-01	1.00e+00
ABCB1	3.13e+00	0.10	0.75	1.38e-01	8.90e-01	1.00e+00
ABCB10	3.22e+02	0.09	0.09	9.84e-01	3.25e-01	1.00e+00
ABCB11	3.98e-01	0.79	1.71	4.59e-01	6.46e-01	1.00e+00
ABCB4	1.44e+01	-0.16	0.30	-5.37e-01	5.91e-01	1.00e+00
ABCB5	1.62e+00	-1.45	1.17	-1.24e+00	2.16e-01	1.00e+00
ABCB6	6.69e+01	0.05	0.16	2.95e-01	7.68e-01	1.00e+00
ABCB7	2.36e+02	-0.05	0.09	-6.16e-01	5.38e-01	1.00e+00
ABCB8	4.31e+01	0.27	0.25	1.04e+00	2.96e-01	1.00e+00
ABCB9	5.99e+00	-0.41	0.48	-8.53e-01	3.93e-01	1.00e+00
ABCC1	3.33e+02	0.05	0.09	5.83e-01	5.60e-01	1.00e+00
ABCC10	1.44e+02	-0.00	0.15	-4.03e-03	9.97e-01	1.00e+00
ABCC11	1.03e+00	0.34	1.21	2.77e-01	7.82e-01	1.00e+00
ABCC2	1.29e+01	-0.32	0.31	-1.03e+00	3.03e-01	1.00e+00
ABCC4	1.71e+02	0.18	0.19	9.20e-01	3.57e-01	1.00e+00
ABCC5	3.06e+02	-0.06	0.12	-4.77e-01	6.33e-01	1.00e+00
ABCC6	3.27e+00	0.01	1.39	1.03e-02	9.92e-01	1.00e+00
ABCC9	2.69e+01	0.52	0.29	1.80e+00	7.20e-02	1.00e+00
ABCD1	6.61e+01	-0.11	0.19	-5.64e-01	5.73e-01	1.00e+00
ABCD3	3.57e+02	0.10	0.09	1.15e+00	2.50e-01	1.00e+00
ABCD4	3.79e+02	-0.06	0.10	-5.65e-01	5.72e-01	1.00e+00
ABCE1	1.64e+03	0.02	0.07	3.28e-01	7.43e-01	1.00e+00
ABCF1	1.50e+03	-0.06	0.11	-5.74e-01	5.66e-01	1.00e+00
ABCF2	2.17e+02	-0.03	0.11	-2.75e-01	7.83e-01	1.00e+00
ABCF2-H2BE1	2.46e+02	-0.18	0.14	-1.32e+00	1.88e-01	1.00e+00
ABCF3	3.73e+02	-0.02	0.09	-2.10e-01	8.34e-01	1.00e+00
ABCG1	5.18e+01	0.11	0.22	5.10e-01	6.10e-01	1.00e+00
ABCG2	1.37e+02	-0.05	0.17	-3.28e-01	7.43e-01	1.00e+00
ABCG4	1.12e+00	-1.39	1.14	-1.22e+00	2.23e-01	1.00e+00
ABCG8	2.51e+00	-0.52	0.84	-6.21e-01	5.35e-01	1.00e+00
ABHD1	5.32e-01	2.66	2.01	1.33e+00	1.85e-01	1.00e+00
ABHD10	2.64e+02	0.11	0.11	1.01e+00	3.10e-01	1.00e+00
ABHD11	1.37e+01	0.09	0.34	2.76e-01	7.82e-01	1.00e+00
ABHD12	2.07e+02	-0.04	0.13	-3.28e-01	7.43e-01	1.00e+00
ABHD13	3.10e+02	0.02	0.10	1.57e-01	8.75e-01	1.00e+00
ABHD14A	7.81e+00	-0.04	0.45	-8.40e-02	9.33e-01	1.00e+00
ABHD14A-ACY1	4.31e+00	2.59	2.56	1.01e+00	3.11e-01	1.00e+00
ABHD14B	4.36e+01	0.16	0.20	8.16e-01	4.15e-01	1.00e+00
ABHD15	3.65e+01	-0.04	0.22	-1.68e-01	8.66e-01	1.00e+00
ABHD16A	2.43e+02	-0.04	0.10	-3.63e-01	7.16e-01	1.00e+00
ABHD16B	4.46e+00	0.10	0.61	1.59e-01	8.74e-01	1.00e+00
ABHD17A	2.32e+02	-0.07	0.19	-3.44e-01	7.31e-01	1.00e+00
ABHD17B	1.44e+02	0.07	0.11	6.33e-01	5.27e-01	1.00e+00
ABHD17C	1.47e+02	0.11	0.17	6.39e-01	5.23e-01	1.00e+00
ABHD18	1.07e+02	-0.22	0.16	-1.35e+00	1.76e-01	1.00e+00
ABHD2	3.83e+02	0.03	0.10	3.54e-01	7.24e-01	1.00e+00
ABHD3	2.61e+01	0.04	0.28	1.50e-01	8.81e-01	1.00e+00
