gene_id	baseMn	l2fc	lfcSE	stat	pval	padj	fdr
CCL2	128.0	0.23	0.21	1.06	0.291	1.0	0.8135714285714286
CCL20	9.16	-0.24	0.53	-0.458	0.647	1.0	0.8135714285714286
CCL28	1.98	1.75	0.98	1.78	0.0744	1.0	0.5420571428571428
CCL7	3.09	0.35	0.73	0.486	0.627	1.0	0.8135714285714286
CCL8	4.61	-1.11	0.55	-1.99	0.0462	1.0	0.5168
CDH2	1210.0	0.05	0.1	0.526	0.599	1.0	0.8135714285714286
CDH5	2490.0	-0.07	0.08	-0.929	0.353	1.0	0.8135714285714286
CXCL1	50.9	-0.1	0.26	-0.372	0.71	1.0	0.8228
CXCL10	1.87	-0.44	0.97	-0.448	0.654	1.0	0.8135714285714286
CXCL11	1.23	-0.8	1.29	-0.626	0.531	1.0	0.8135714285714286
CXCL5	100.0	0.36	0.24	1.49	0.135	1.0	0.625909090909091
CXCL6	0.492	0.75	2.13	0.351	0.726	1.0	0.8228
CXCL8	15.5	0.04	0.39	0.0996	0.921	1.0	0.958591836734694
EDN1	486.0	-0.05	0.11	-0.434	0.665	1.0	0.8135714285714286
F11R	4050.0	0.07	0.09	0.764	0.445	1.0	0.8135714285714286
ICAM1	381.0	0.25	0.22	1.13	0.259	1.0	0.8135714285714286
ICAM2	168.0	-0.08	0.2	-0.427	0.67	1.0	0.8135714285714286
ICAM3	43.3	0.27	0.17	1.6	0.109	1.0	0.625909090909091
IL10	0.996	0.24	1.27	0.19	0.849	1.0	0.9212553191489362
IL13RA1	1490.0	-0.03	0.08	-0.364	0.716	1.0	0.8228
IL15	4.51	-0.39	0.57	-0.684	0.494	1.0	0.8135714285714286
IL16	109.0	-0.16	0.15	-1.11	0.266	1.0	0.8135714285714286
IL17RA	447.0	0.17	0.08	2.11	0.0351	1.0	0.5168
IL18R1	434.0	0.23	0.15	1.52	0.129	1.0	0.625909090909091
IL1A	15.2	0.45	0.35	1.29	0.196	1.0	0.8135714285714286
IL1B	13.4	0.8	0.36	2.2	0.0277	1.0	0.5168
IL1R1	612.0	0.05	0.09	0.508	0.611	1.0	0.8135714285714286
IL1RAP	258.0	0.1	0.08	1.15	0.251	1.0	0.8135714285714286
IL1RL1	74.9	0.19	0.34	0.554	0.579	1.0	0.8135714285714286
IL32	213.0	0.41	0.27	1.53	0.125	1.0	0.625909090909091
IL33	138.0	0.11	0.15	0.736	0.462	1.0	0.8135714285714286
IL34	2.06	-0.65	0.86	-0.753	0.452	1.0	0.8135714285714286
INHBA	37.4	0.34	0.27	1.26	0.208	1.0	0.8135714285714286
KDR	22700.0	-0.05	0.06	-0.744	0.457	1.0	0.8135714285714286
MMP1	1790.0	-0.09	0.09	-1.03	0.304	1.0	0.8135714285714286
MMP14	4370.0	-0.05	0.1	-0.52	0.603	1.0	0.8135714285714286
MMP9	1320.0	0.05	0.09	0.573	0.567	1.0	0.8135714285714286
NOS3	399.0	-0.11	0.11	-0.934	0.35	1.0	0.8135714285714286
PECAM1	10000.0	-0.06	0.07	-0.826	0.409	1.0	0.8135714285714286
SELE	8930.0	0.02	0.14	0.145	0.884	1.0	0.93925
SELP	42.5	-0.01	0.19	-0.07	0.944	1.0	0.96288
TGFA	5.53	-0.91	0.48	-1.88	0.0608	1.0	0.5168
TGFB1	1950.0	-0.22	0.11	-2.08	0.0372	1.0	0.5168
TGFBR1	672.0	0.15	0.08	1.95	0.0516	1.0	0.5168
TLR2	13.0	0.26	0.37	0.701	0.483	1.0	0.8135714285714286
TNFSF10	82.8	-0.05	0.21	-0.222	0.824	1.0	0.9135652173913043
TNFSF12	46.1	-0.0	0.23	-0.015	0.988	1.0	0.988
TNFSF14	0.946	1.44	1.38	1.05	0.296	1.0	0.8135714285714286
VCAM1	12.0	0.36	0.5	0.72	0.471	1.0	0.8135714285714286
VEGFA	214.0	0.08	0.17	0.465	0.642	1.0	0.8135714285714286
VWF	1420.0	-0.06	0.1	-0.602	0.547	1.0	0.8135714285714286
