	090317_0121166	090318_0121167	090319_0121168	090320_0121169	090321_0121170	090322_0121171	090323_0121172	090324_0121173	090325_0121174	090326_0121175	090327_0121176	090328_0121177	090329_0121178	090330_0121179	090331_0121180	090332_0121181	090333_0121182	090334_0121183	090335_0121184	090336_0121185	090337_0121186	090338_0121187	090339_0121188	090340_0121189	090341_0121190	090342_0121191	090343_0121192	090344_0121193	090345_0121194	090346_0121195	090347_0121196	090348_0121197	090349_0121198	090350_0121199	090351_0121200	090352_0121201	090353_0121202	090354_0121203	090355_0121204	090356_0121205	090357_0121206	090358_0121207	090359_0121208	090360_0121209	090361_0121210	090362_0121211	090363_0121212	090364_0121213	090365_0121214	090366_0121215
ABAT	1.0	1.0	1.0	1.0	1.0	1.6	1.0	1.0	0.0	0.0	1.0	1.6	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.6	1.0	1.6	1.0	1.0	1.6	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.6	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
ABL1	4.8	5.4	5.3	5.5	5.3	5.3	5.4	5.3	5.1	5.2	5.2	5.6	5.5	5.4	5.4	5.2	5.1	4.9	5.3	5.5	5.6	5.3	5.6	5.0	5.0	5.4	5.2	5.5	5.5	5.6	5.6	5.2	5.0	5.0	5.1	5.2	5.5	5.3	5.2	5.4	4.6	5.0	5.2	5.1	5.3	5.4	5.0	5.2	4.8	5.2
ADA	5.7	5.5	5.5	5.7	5.5	5.1	5.4	5.4	5.8	5.9	5.7	6.0	5.9	5.6	5.9	5.5	5.1	5.3	5.5	5.6	5.8	5.6	4.6	5.6	5.2	5.1	5.5	5.6	5.5	5.9	5.5	5.2	5.0	5.1	5.2	5.6	5.3	5.7	5.2	5.6	5.2	5.5	5.0	4.8	5.2	5.6	5.5	5.4	5.0	5.3
ADCY5	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.6	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.6	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
ADCY6	4.2	4.4	4.2	4.8	4.4	4.3	4.2	4.6	3.7	4.2	4.2	4.5	4.4	4.6	4.5	4.5	4.1	4.7	4.7	4.6	4.6	4.5	4.2	4.3	4.1	4.2	4.2	4.8	4.6	4.8	4.6	4.2	4.3	4.5	4.2	4.2	4.6	4.5	4.1	4.5	3.8	4.2	4.2	4.2	4.4	4.3	4.4	4.4	4.2	4.5
ADCY8	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADGRL3	1.6	2.3	2.3	2.3	2.3	2.0	2.6	2.3	1.6	1.6	2.0	2.0	1.6	2.3	1.6	2.0	2.3	2.0	2.0	2.3	2.0	2.3	3.0	2.0	2.0	2.0	2.3	2.3	2.3	2.3	2.0	2.0	2.0	2.3	2.3	2.3	2.3	2.0	2.0	2.0	1.6	2.3	2.6	2.0	2.3	2.3	2.0	2.0	2.0	2.0
ADSS2	6.9	6.7	6.9	7.0	7.0	7.2	7.3	6.6	6.6	6.8	7.1	7.1	7.1	7.1	7.3	6.8	6.6	6.8	6.9	7.0	7.0	6.9	7.4	6.9	6.9	7.0	7.0	6.8	6.9	7.0	6.9	6.9	7.3	7.1	7.1	7.0	7.1	7.2	6.9	6.9	6.6	7.0	6.9	7.2	6.9	7.2	7.1	7.0	7.3	7.2
AGRN	6.0	6.5	6.6	6.7	6.6	6.3	6.5	6.6	5.8	6.7	6.6	6.7	6.9	6.8	6.5	6.4	6.4	6.4	6.4	6.9	6.8	6.4	6.8	6.5	6.2	6.5	6.5	6.6	6.7	6.7	6.6	6.2	6.2	6.4	6.3	6.6	6.5	6.6	6.3	6.2	6.0	6.3	6.4	6.3	6.5	6.5	6.3	6.6	6.1	6.4
AIF1	4.0	2.8	2.6	3.2	3.8	1.6	3.0	3.3	4.5	4.4	3.9	1.0	3.5	2.8	3.6	3.5	3.2	2.8	2.8	2.3	3.0	2.6	3.9	1.6	3.7	2.8	3.3	1.6	3.5	3.0	1.6	3.3	2.3	1.6	2.8	2.6	3.0	3.2	4.1	2.6	2.6	3.2	2.6	2.8	2.3	2.6	2.0	3.5	2.3	3.2
ALK	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AOC1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARRB2	3.9	3.5	3.7	3.3	3.5	3.8	3.6	3.5	4.0	3.7	3.7	3.5	3.9	3.0	4.2	3.5	3.5	3.0	3.3	3.9	3.3	3.8	2.8	3.5	3.3	3.7	3.3	3.2	3.5	3.7	3.7	3.6	3.5	3.9	4.0	3.5	3.5	3.6	3.6	4.4	3.9	3.9	3.7	3.6	3.7	3.6	3.8	4.1	3.5	3.3
ASS1	1.0	1.6	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.6	1.6	2.0	2.0	2.0	1.6	0.0	1.6	1.0	2.0	2.0	0.0	1.6	1.0	1.0	2.0	1.0	1.6	1.6	1.6	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.6	1.0	1.0	0.0	1.0	1.0	1.0	1.6	1.0	0.0
ATF4	7.9	7.5	7.4	7.4	7.7	7.5	7.4	7.7	7.7	7.9	7.6	7.4	7.7	7.6	7.7	7.8	7.7	7.9	7.5	7.5	7.5	7.4	6.3	7.7	7.7	7.5	7.5	7.7	7.8	7.4	7.5	7.6	7.9	7.5	7.5	7.7	7.7	7.8	7.7	7.5	7.6	7.6	7.5	7.6	7.5	7.4	7.5	7.5	7.5	7.5
ATG7	3.2	3.2	3.2	3.7	3.6	3.7	3.2	3.5	1.6	3.7	3.8	3.2	3.3	2.8	2.6	3.3	3.0	3.7	3.0	3.0	2.8	3.5	3.3	3.6	2.8	3.6	3.0	3.0	3.3	3.0	3.6	3.5	3.6	3.8	3.2	3.2	3.3	3.5	2.6	3.3	2.6	3.0	3.3	2.3	3.3	3.5	3.5	3.0	3.3	3.0
ATP2B4	5.5	5.8	5.9	5.9	5.9	6.0	6.2	5.8	4.4	5.2	5.5	5.6	5.7	5.9	5.8	5.7	5.6	5.5	5.8	5.9	5.8	5.9	6.6	5.8	5.5	6.0	5.9	5.8	6.0	5.8	5.7	6.0	5.9	6.0	5.8	5.9	6.0	6.3	5.9	5.9	5.0	5.8	5.8	5.9	6.0	5.8	5.8	6.0	5.7	5.8
CACNG4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CALY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASP3	7.0	6.9	7.0	6.9	7.1	7.1	7.2	6.8	6.4	7.1	7.2	7.3	7.1	7.0	7.0	7.1	6.9	7.0	7.1	6.9	7.2	7.1	6.8	7.1	7.0	7.0	7.2	7.1	7.1	6.9	6.8	7.0	6.9	7.1	7.0	7.1	7.0	7.2	7.0	7.0	6.9	7.0	7.1	6.9	7.2	7.4	6.9	6.9	7.1	6.9
CASP6	6.3	6.5	6.4	6.4	6.3	6.2	6.6	6.5	6.2	6.5	6.1	6.1	6.0	6.0	6.4	5.8	6.3	6.3	6.7	6.0	6.5	6.4	6.1	6.5	6.3	6.6	6.3	6.4	6.4	6.2	6.4	6.4	6.1	6.3	6.4	6.4	6.3	6.2	6.0	6.5	6.1	6.4	6.2	5.9	6.1	6.1	6.0	5.6	6.0	6.1
CASP7	6.2	6.1	6.0	6.1	6.0	6.2	6.1	6.1	6.1	6.2	6.1	6.1	5.7	6.1	6.0	5.8	6.0	6.2	6.0	6.1	5.9	6.1	6.4	6.0	6.3	6.2	6.1	6.1	6.3	5.8	5.9	6.3	6.5	6.4	6.2	6.1	6.2	6.5	6.0	6.1	6.1	5.9	6.2	6.4	6.3	5.9	6.1	5.9	6.3	6.2
CAV2	5.0	4.3	4.6	4.5	4.9	4.8	5.4	4.5	4.5	5.0	4.9	4.0	4.4	4.8	4.8	5.1	4.5	4.2	4.2	4.4	4.5	4.6	4.9	4.5	4.8	4.3	4.8	4.5	4.4	4.8	4.2	4.5	4.9	4.5	4.2	4.3	4.9	5.1	4.5	5.2	4.8	4.3	4.7	4.9	5.0	5.0	4.9	5.3	5.0	4.8
CCNA2	4.2	3.7	4.2	4.2	4.2	4.2	4.7	4.1	3.8	4.9	4.2	3.5	4.0	3.7	4.4	4.5	3.9	3.8	4.1	3.9	4.1	4.0	5.1	4.4	3.8	4.2	4.2	4.0	4.0	4.1	3.9	4.1	4.2	4.2	3.8	4.2	4.2	4.1	4.2	4.2	4.3	4.5	4.5	3.9	4.4	4.5	4.1	4.3	4.4	4.2
CDK5	3.9	3.6	4.0	4.2	3.3	4.3	4.3	2.8	4.3	4.5	4.6	3.2	4.2	4.0	4.2	3.9	3.3	4.0	3.3	3.9	4.3	4.0	3.2	3.2	3.3	4.0	4.5	4.0	4.0	3.7	4.0	3.9	2.8	4.3	3.6	4.5	4.1	4.1	3.9	4.2	3.7	4.0	3.8	3.2	3.6	3.8	3.8	3.5	4.1	3.7
CDK5R1	1.6	1.6	1.0	1.0	1.6	1.0	2.0	1.6	1.6	1.6	2.3	1.0	1.0	1.6	1.6	1.0	1.6	2.0	1.6	2.0	1.6	2.0	3.0	2.0	1.6	1.0	1.6	1.6	2.0	1.0	1.0	1.6	2.0	2.3	1.6	1.6	1.0	1.6	1.6	1.6	2.0	1.6	1.6	2.0	1.6	1.6	1.6	2.0	1.6	1.0
CHRM1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHRM2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHRM3	2.0	2.3	2.8	3.0	3.0	2.8	2.8	2.8	2.0	2.3	2.6	2.8	2.6	2.3	2.0	2.3	2.3	2.8	2.8	2.8	2.3	3.0	3.6	2.8	2.0	2.6	2.6	3.0	3.0	3.0	2.6	2.6	2.3	2.0	2.3	2.6	2.6	2.8	2.6	2.6	2.0	2.6	2.8	2.3	2.6	3.3	2.6	2.6	2.3	2.6
CHRM4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHRM5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHRNA3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
CHRNA4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHRNA7	0.0	1.6	1.0	1.6	1.0	1.6	2.3	1.0	0.0	1.0	0.0	1.0	1.6	0.0	1.0	0.0	1.0	0.0	1.0	1.6	1.6	1.6	1.6	1.6	1.0	1.0	2.0	1.6	1.6	1.6	1.6	1.6	1.0	1.6	1.0	1.0	1.6	2.0	1.0	1.6	1.0	2.0	2.0	1.6	2.0	1.6	1.6	1.6	1.6	1.0
CHRNB2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
CNR1	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.6	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
CRH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CRHBP	3.7	3.6	3.9	3.5	3.5	3.2	3.6	3.3	4.2	3.6	4.1	3.3	3.6	2.8	2.6	4.1	3.8	3.2	3.9	3.5	3.5	3.5	3.8	3.0	3.3	3.5	3.5	4.2	3.5	3.6	3.7	2.8	2.8	3.5	3.9	3.6	3.2	3.2	2.0	3.3	3.5	3.9	3.9	3.0	3.5	3.7	3.2	3.0	3.6	3.2
CRKL	6.1	6.0	6.2	5.8	6.0	6.1	6.5	5.8	6.4	6.1	6.1	6.2	6.1	6.2	6.2	6.3	5.9	5.8	6.1	6.0	6.0	6.2	7.4	6.2	6.2	6.0	6.2	6.0	5.9	5.9	6.0	6.2	6.3	6.3	6.2	6.2	6.0	6.1	6.1	6.0	6.1	6.0	6.2	6.3	6.0	6.2	5.8	5.9	6.2	5.9
